,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG,PKA,Last Name,First Name,Club Name
1335,Craig Rocastle,KC,M,23,18,1470,0,3,10,1,0,0,0,0.0,0.0,2010,REG,0,2,1,0.18,10.0,27,31,1,4,1,0,0,Rocastle,Craig,KC
1336,Corey Ashe,HOU,M,27,19,1650,0,3,12,4,0,0,0,0.0,0.0,2010,REG,1,3,0,0.16,33.3,6,33,5,0,0,0,0,Ashe,Corey,HOU
1337,Chris Klein,LA,M,11,3,303,0,2,1,0,0,0,0,0.0,0.0,2010,REG,1,0,2,0.59,0.0,5,2,0,0,0,0,0,Klein,Chris,LA
1338,Rodney Wallace,NYC,F,11,11,924,0,2,4,1,0,0,0,0.0,0.0,2010,REG,0,2,0,0.19,25.0,11,11,0,2,0,0,0,Wallace,Rodney,NYCFC
1339,Chris Albright,NY,D,18,18,1585,0,2,7,2,0,0,0,0.0,0.0,2010,REG,0,2,0,0.11,28.6,13,5,0,3,0,0,0,Albright,Chris,NY
1340,Frankie Hejduk,CLB,D,20,20,1736,0,2,8,4,0,0,0,0.0,0.0,2010,REG,0,0,2,0.1,50.0,25,24,1,4,1,0,0,Hejduk,Frankie,CLB
1341,Jair Benítez,DAL,D,28,28,2424,0,2,8,1,0,0,0,0.0,0.0,2010,REG,2,2,0,0.07,12.5,22,35,3,3,1,0,0,Benítez,Jair,DAL
1342,Roy Miller,POR,D,25,21,1948,0,2,9,3,0,0,0,0.0,0.0,2010,REG,0,0,2,0.09,33.3,29,6,1,5,1,0,0,Miller,Roy,POR
1343,Julian de Guzman,TOR,M,25,21,2014,0,2,16,5,0,0,0,0.0,0.0,2010,REG,0,2,0,0.09,31.3,37,40,2,8,1,0,0,de Guzman,Julian,TOR
1344,Jonathan Bornstein,CHV,D,21,17,1673,0,2,16,7,0,0,0,0.0,0.0,2010,REG,0,2,0,0.11,43.8,10,11,4,0,0,0,0,Bornstein,Jonathan,CHV
1345,Chris Birchall,LA,M,25,23,1973,0,2,31,8,0,0,0,0.0,0.0,2010,REG,1,1,1,0.09,25.8,28,13,0,5,0,0,0,Birchall,Chris,LA
1346,Jason Hernandez,SJ,D,27,27,2412,0,1,0,0,0,0,0,0.0,0.0,2010,REG,0,0,1,0.04,0.0,5,7,0,2,1,0,0,Hernandez,Jason,SJ
1347,Carlos Mendes,NY,D,21,20,1785,0,1,0,0,0,0,0,0.0,0.0,2010,REG,0,1,0,0.05,0.0,22,4,0,5,1,0,0,Mendes,Carlos,NY
1348,Tyson Wahl,SEA,D,4,2,241,0,1,1,0,0,0,0,0.0,0.0,2010,REG,0,1,0,0.37,0.0,5,3,0,0,0,0,0,Wahl,Tyson,SEA
1349,Anthony Wallace,COL,D,9,7,571,0,1,2,1,0,0,0,0.0,0.0,2010,REG,0,1,0,0.16,50.0,6,3,0,3,0,0,0,Wallace,Anthony,COL
1350,Jonathan Leathers,KC,D,8,3,356,0,1,2,1,0,0,0,0.0,0.0,2010,REG,0,1,0,0.25,50.0,1,1,0,0,0,0,0,Leathers,Jonathan,KC
1351,Bobby Boswell,HOU,D,26,26,2277,0,1,2,0,0,0,0,0.0,0.0,2010,REG,0,0,1,0.04,0.0,16,5,0,5,1,0,0,Boswell,Bobby,HOU
1352,Ante Jazic,CHV,D,21,21,1771,0,1,3,0,0,0,0,0.0,0.0,2010,REG,1,1,0,0.05,0.0,8,10,0,3,0,0,0,Jazic,Ante,CHV
1353,Nick Garcia,TOR,D,23,20,1811,0,1,3,1,0,0,0,0.0,0.0,2010,REG,0,0,1,0.05,33.3,18,10,0,2,1,0,0,Garcia,Nick,TOR
1354,Tony Beltran,RSL,D,18,17,1493,0,1,3,1,0,0,0,0.0,0.0,2010,REG,1,1,0,0.06,33.3,12,12,1,1,0,0,0,Beltran,Tony,RSL
1355,Jeremy Hall,NY,D-M,13,9,895,0,1,3,1,0,0,0,0.0,0.0,2010,REG,0,1,0,0.1,33.3,17,7,1,3,0,0,0,Hall,Jeremy,NY
1356,Shaun Francis,CLB,D,12,10,993,0,1,3,0,0,0,0,0.0,0.0,2010,REG,0,0,1,0.09,0.0,19,3,0,3,0,0,0,Francis,Shaun,CLB
1357,Sal Zizzo,CHV,D,10,1,254,0,1,4,2,0,0,0,0.0,0.0,2010,REG,0,1,0,0.35,50.0,1,8,0,0,0,0,0,Zizzo,Sal,CHV
1358,André Luiz,SJ,M,9,9,701,0,1,4,2,0,0,0,0.0,0.0,2010,REG,0,1,0,0.13,50.0,9,14,0,1,0,0,0,Luiz,André,SJ
1359,Dasan Robinson,CHI,D,17,17,1369,0,1,4,0,0,0,0,0.0,0.0,2010,REG,1,0,1,0.07,0.0,16,18,0,2,0,0,0,Robinson,Dasan,CHI
1360,Danny O'Rourke,CLB,D,17,14,1276,0,1,5,0,0,0,0,0.0,0.0,2010,REG,0,0,1,0.07,0.0,18,9,0,2,2,0,0,O'Rourke,Danny,CLB
1361,Tim Ward,CHI,D,19,18,1638,0,1,5,3,0,0,0,0.0,0.0,2010,REG,1,0,1,0.05,60.0,10,9,0,1,0,0,0,Ward,Tim,CHI
1362,Emmanuel Osei,NE,D,21,18,1716,0,1,5,0,0,0,0,0.0,0.0,2010,REG,0,0,1,0.05,0.0,18,13,0,3,0,0,0,Osei,Emmanuel,NE
1363,Marcelo Saragosa,CHV,M,14,9,823,0,1,5,2,0,0,0,0.0,0.0,2010,REG,0,1,0,0.11,40.0,17,9,0,2,0,0,0,Saragosa,Marcelo,CHV
1364,Jeff Parke,SEA,D,20,20,1682,0,1,6,0,0,0,0,0.0,0.0,2010,REG,0,1,0,0.05,0.0,15,18,0,3,0,0,0,Parke,Jeff,SEA
1365,Eduardo da Silva,SJ,F,8,2,303,0,1,6,1,0,0,0,0.0,0.0,2010,REG,0,1,0,0.3,16.7,4,10,4,1,0,0,0,da Silva,Eduardo,SJ
1366,Mike Seamon,SEA,M-F,8,3,314,0,1,6,2,0,0,0,0.0,0.0,2010,REG,0,1,0,0.29,33.3,0,7,0,0,0,0,0,Seamon,Mike,SEA
1367,Niouky Desire,NE,M,13,11,1068,0,1,6,0,0,0,0,0.0,0.0,2010,REG,1,1,0,0.08,0.0,32,9,0,5,1,0,0,Desire,Niouky,NE
1368,Dario Delgado,CHV,D,22,21,1865,0,1,7,3,1,0,0,0.0,0.0,2010,REG,0,1,0,0.05,42.9,26,17,2,2,0,1,1,Delgado,Dario,CHV
1369,Jackson Goncalves,DAL,M,12,9,805,0,1,7,3,0,0,0,0.0,0.0,2010,REG,1,0,1,0.11,42.9,10,4,1,0,0,0,0,Goncalves,Jackson,DAL
1370,Scott Sealy,SJ,F,15,5,520,0,1,7,2,0,0,0,0.0,0.0,2010,REG,0,1,0,0.17,28.6,7,9,7,0,0,0,0,Sealy,Scott,SJ
1371,Danny Califf,PHI,D,28,28,2464,0,1,7,2,0,0,0,0.0,0.0,2010,REG,0,1,0,0.04,28.6,29,14,0,3,1,0,0,Califf,Danny,PHI
1372,Stéphane Auvray,KC,M,21,21,1681,0,1,7,0,0,0,0,0.0,0.0,2010,REG,0,1,0,0.05,0.0,24,17,1,2,0,0,0,Auvray,Stéphane,KC
1373,Sam Cronin,MIN,M,23,20,1754,0,1,8,2,0,0,0,0.0,0.0,2010,REG,1,1,0,0.05,25.0,19,14,0,2,1,0,0,Cronin,Sam,MIN
1374,Krzysztof Krol,CHI,D,19,17,1565,0,1,9,1,0,0,0,0.0,0.0,2010,REG,0,0,1,0.06,11.1,13,12,0,2,1,0,0,Krol,Krzysztof,CHI
1375,Pablo Campos,RSL,F,16,3,434,0,1,12,4,0,0,0,0.0,0.0,2010,REG,0,1,0,0.21,33.3,15,7,4,2,0,0,0,Campos,Pablo,RSL
1376,Miguel Ferrer,TOR,F,9,5,544,0,1,13,3,0,0,0,0.0,0.0,2010,REG,0,1,0,0.17,23.1,5,1,5,1,0,0,0,Ferrer,Miguel,TOR
1377,Khano Smith,NE,M,16,6,772,0,1,13,5,0,0,0,0.0,0.0,2010,REG,0,0,1,0.12,38.5,12,10,0,1,0,0,0,Smith,Khano,NE
1378,Kevin Alston,NE,D,22,22,1826,0,1,14,3,0,0,0,0.0,0.0,2010,REG,0,1,0,0.05,21.4,14,27,1,1,0,0,0,Alston,Kevin,NE
1379,Roger Espinoza,SKC,M,25,25,2192,0,1,15,4,0,0,0,0.0,0.0,2010,REG,1,0,1,0.04,26.7,42,30,0,5,0,0,0,Espinoza,Roger,KC
1380,Ben Zemanski,CHV,M,22,17,1543,0,1,16,3,0,0,0,0.0,0.0,2010,REG,0,1,0,0.06,18.8,27,8,0,3,0,0,0,Zemanski,Ben,CHV
1381,Stephen King,DC,M,20,16,1415,0,1,17,7,0,0,0,0.0,0.0,2010,REG,0,0,1,0.06,41.2,7,14,0,1,0,0,0,King,Stephen,DC
1382,Pablo Hernandez,DC,F,14,13,1149,0,1,29,16,0,0,0,0.0,0.0,2010,REG,0,1,0,0.08,55.2,29,36,12,2,0,0,0,Hernandez,Pablo,DC
1383,Michael Holody,COL,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Holody,Michael,COL
1384,Ross Schunk,COL,F,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Schunk,Ross,COL
1385,Kyle Davies,DAL,D,3,2,166,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,3,2,0,0,0,0,0,Davies,Kyle,DAL
1386,Michael Videira,NE,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Videira,Michael,NE
1387,Peri Marosevic,DAL,F,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Marosevic,Peri,DAL
1388,Ciaran O'Brien,COL,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,O'Brien,Ciaran,COL
1389,Rauwshan McKenzie,RSL,D,4,2,224,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,3,3,0,1,0,0,0,McKenzie,Rauwshan,RSL
1390,Ali Gerba,TOR,F,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Gerba,Ali,TOR
1391,Gerson Mayen,SLV,M,4,2,152,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,2,0,1,0,0,0,0,Mayen,Gerson,UNK
1392,Mauricio Castro,NE,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Castro,Mauricio,NE
1393,Rob Valentino,COL,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Valentino,Rob,COL
1394,Alex Nimo,RSL,F-M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Nimo,Alex,RSL
1395,David Horst,RSL,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Horst,David,RSL
1396,Luke Sassano,NY,D,3,2,120,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,1,0,0,0,1,0,0,Sassano,Luke,NY
1397,Taylor Graham,SEA,D,1,0,1,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Graham,Taylor,SEA
1398,Kevin Goldthwaite,NY,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Goldthwaite,Kevin,NY
1399,Nico Colaluca,NE,M,1,0,14,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,1,0,0,0,0,0,0,Colaluca,Nico,NE
1400,Alex Zotinca,CHV,D,1,1,45,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,1,0,0,0,0,0,0,Zotinca,Alex,CHV
1401,Sergio Herrera,CLB,F,1,0,1,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Herrera,Sergio,CLB
1402,Andrew Boyens,NY,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Boyens,Andrew,NY
1403,Aaron Hohlbein,KC,D,2,1,111,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,2,0,0,0,0,0,0,Hohlbein,Aaron,KC
1404,Nick Kounenakis,KC,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Kounenakis,Nick,KC
1405,Anthony Obodai,HOU,M,4,4,210,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,3,5,0,1,0,0,0,Obodai,Anthony,HOU
1406,Clint Mathis,LA,M,9,0,182,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,1,2,0,0,0,0,0,Mathis,Clint,LA
1407,Jim Brennan,TOR,D,1,1,90,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,1,1,0,0,0,0,0,Brennan,Jim,TOR
1408,Gino Padula,CLB,D,15,13,1001,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,9,6,0,2,0,0,0,Padula,Gino,CLB
1409,Juan Pena,DC,D,10,9,700,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,12,4,0,2,0,0,0,Pena,Juan,DC
1410,Bryan Namoff,DC,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Namoff,Bryan,DC
1411,Steve Ralston,NE,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Ralston,Steve,NE
1412,Duncan Oughton,CLB,D,3,0,41,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Oughton,Duncan,CLB
1413,Taylor Twellman,NE,F,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Twellman,Taylor,NE
1414,Lyle Adams,DC,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Adams,Lyle,DC
1415,Francisco Navas Cobo,HOU,M,1,0,1,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Navas Cobo,Francisco,HOU
1416,Luis Gil,RSL,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Gil,Luis,RSL
1417,Othaniel Yanez,CLB,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Yanez,Othaniel,CLB
1418,Giorgi Chirgadze,NY,F,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Chirgadze,Giorgi,NY
1419,Austin da Luz,NY,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,da Luz,Austin,NY
1420,Irving Garcia,NY,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Garcia,Irving,NY
1421,Oscar Murillo,COL,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Murillo,Oscar,COL
1422,Sunil Chhetri,KC,F,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Chhetri,Sunil,KC
1423,Igor Kostrov,KC,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Kostrov,Igor,KC
1424,Bryan Leyva,DAL,M,1,0,13,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Leyva,Bryan,DAL
1425,Andrew Wiedeman,DAL,F,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Wiedeman,Andrew,DAL
1426,Chris Schuler,RSL,D,1,1,90,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,1,1,0,0,0,0,0,Schuler,Chris,RSL
1427,José Macotelo,CHV,M-F,3,0,65,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Macotelo,José,CHV
1428,Zac Herold,TOR,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Herold,Zac,TOR
1429,Cesar Zamora,CHV,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Zamora,Cesar,CHV
1430,Junior Carreiro,DC,M,3,0,43,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,2,0,0,0,0,0,Carreiro,Junior,DC
1431,J.T. Noone,PHI,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Noone,J.T.,PHI
1432,John Rodrigues,DC,D,1,0,12,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,2,1,0,0,0,0,0,Rodrigues,John,DC
1433,Bryan de la Fuente,CHV,F,1,0,5,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,de la Fuente,Bryan,CHV
1434,Josh Williams,CLB,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Williams,Josh,CLB
1435,Davy Armstrong,COL,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Armstrong,Davy,COL
1436,Victor Pineda,CHI,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Pineda,Victor,CHI
1437,Conor Shanosky,DC,M-D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Shanosky,Conor,DC
1438,Jamar Beasley,KC,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Beasley,Jamar,KC
1439,Roberto Linck,NE,F-M,2,0,16,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Linck,Roberto,NE
1440,Juan Diego González,PHI,D,7,7,630,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,7,4,0,0,0,0,0,Diego González,Juan,PHI
1441,Doneil Henry,VAN,D,1,0,1,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Henry,Doneil,VAN
1442,Raivis Hscanovics,TOR,D,11,10,753,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,10,7,0,2,0,0,0,Hscanovics,Raivis,TOR
1443,Zoltan Hercegfalvi,KC,F,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Hercegfalvi,Zoltan,KC
1444,Tiyiselani Shipalane,DC,M,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Shipalane,Tiyiselani,DC
1445,David Myrie,PHI,D,1,1,78,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,2,2,0,1,0,0,0,Myrie,David,PHI
1446,Jhon Kennedy Hurtado,SEA,D,9,9,810,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,10,6,0,1,0,0,0,Kennedy Hurtado,Jhon,SEA
1447,Zach Scott,SEA,D,4,4,360,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,4,4,0,2,0,0,0,Scott,Zach,SEA
1448,Emmanuel Gomez,TOR,D,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Gomez,Emmanuel,TOR
1449,Eduardo Lillingston,CHV,F,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Lillingston,Eduardo,CHV
1450,Darrius Barnes,NE,D,21,20,1800,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,8,6,0,3,0,0,0,Barnes,Darrius,NE
1451,Yohance Marshall,LA,D,2,2,180,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,5,1,0,2,0,0,0,Marshall,Yohance,LA
1452,Maksim Usanov,TOR,D,14,13,1045,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,27,8,1,5,1,0,0,Usanov,Maksim,TOR
1453,Edson Edward,DAL,D,1,0,5,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,0,0,0,0,0,0,Edward,Edson,DAL
1454,Korede Aiyegbusi,KC,D,5,1,129,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,3,1,1,0,0,0,0,Aiyegbusi,Korede,KC
1455,Toni Stahl,PHI,M,1,1,41,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,1,1,0,1,1,0,0,Stahl,Toni,PHI
1456,Ross LaBauex,COL,M,5,1,76,0,0,0,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,1,5,0,1,0,0,0,LaBauex,Ross,COL
1457,Dilly Duka,CLB,M,3,2,160,0,0,1,1,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,100.0,3,2,0,1,0,0,0,Duka,Dilly,CLB
1458,David Estrada,SEA,M-F,3,1,88,0,0,1,1,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,100.0,0,1,0,0,0,0,0,Estrada,David,SEA
1459,Conor Chinn,NY,F,5,0,29,0,0,1,1,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,100.0,0,1,1,0,0,0,0,Chinn,Conor,NY
1460,Jason Yeisley,DAL,F,5,0,39,0,0,1,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,0,1,1,0,0,0,0,Yeisley,Jason,DAL
1461,Zach Loyd,DAL,D,24,19,1769,0,0,1,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,19,11,0,2,0,0,0,Loyd,Zach,DAL
1462,Yamith Cuesta,CHV,D,6,3,290,0,0,1,1,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,100.0,9,1,1,1,0,0,0,Cuesta,Yamith,CHV
1463,Juan Agudelo,NE,F,2,0,14,0,0,1,1,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,100.0,1,0,0,0,0,0,0,Agudelo,Juan,NE
1464,Andre Akpan,COL,F,1,0,13,0,0,1,1,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,100.0,0,0,0,0,0,0,0,Akpan,Andre,COL
1465,Justin Morrow,TOR,M,3,0,59,0,0,1,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,1,0,0,0,0,0,0,Morrow,Justin,TOR
1466,Bratislav Ristic,CHI,M,8,8,692,0,0,1,1,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,100.0,17,9,1,0,0,0,0,Ristic,Bratislav,CHI
1467,Carlos Varela,DC,M,6,1,173,0,0,1,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,5,2,2,0,0,0,0,Varela,Carlos,DC
1468,Eduardo Coudet,PHI,M,9,9,631,0,0,1,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,6,5,0,0,0,0,0,Coudet,Eduardo,PHI
1469,C.J. Brown,CHI,D,26,26,2340,0,0,1,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,12,8,0,2,0,0,0,Brown,C.J.,CHI
1470,Chris Leitch,SJ,D,15,15,1225,0,0,1,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,10,4,0,1,1,0,0,Leitch,Chris,SJ
1471,Peter Vagenas,SEA,M,7,7,542,0,0,1,1,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,100.0,7,11,0,0,0,0,0,Vagenas,Peter,SEA
1472,Mike Petke,NY,D,16,11,1047,0,0,1,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,11,7,0,5,0,0,0,Petke,Mike,NY
1473,Gonzalo Segares,CHI,D,6,6,439,0,0,1,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,10,5,0,0,1,0,0,Segares,Gonzalo,CHI
1474,Ramon Sanchez,SJ,M,3,1,83,0,0,1,1,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,100.0,0,0,0,0,0,0,0,Sanchez,Ramon,SJ
1475,Luciano Emilio,DC,F,4,1,157,0,0,1,1,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,100.0,1,0,1,0,0,0,0,Emilio,Luciano,DC
1476,Gabe Gala,TOR,M,10,1,217,0,0,1,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,4,0,0,0,0,0,0,Gala,Gabe,TOR
1477,Ryan Cochrane,HOU,D,12,5,569,0,0,1,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,7,3,0,2,0,0,0,Cochrane,Ryan,HOU
1478,Craig Waibel,HOU,D,4,3,225,0,0,1,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,2,1,0,0,0,0,0,Waibel,Craig,HOU
1479,Bryan Jordan,LA,D,8,2,268,0,0,1,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,6,2,0,1,0,0,0,Jordan,Bryan,LA
1480,Bruno Guarda,DAL,M,9,2,233,0,0,1,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,9,3,3,1,0,0,0,Guarda,Bruno,DAL
1481,Santiago Hirsig,KC,M,1,1,45,0,0,1,0,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,0.0,3,2,0,0,0,0,0,Hirsig,Santiago,KC
1482,Deris Umanzor,CHI,D,10,5,502,0,0,2,2,0,0,0,0.0,0.0,2010,REG,0,0,0,0.0,100.0,6,4,0,0,0,0,0,Umanzor,Deris,CHI
