,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG,PKA,Last Name,First Name,Club Name,Club Name_Dup,Last Name_Dup,First Name_Dup,POS_Dup,Club_Dup,Base Salary,Guaranteed Compensation,Date
1154,David Ferreira,DAL,M,30.0,30.0,2699.0,8.0,13.0,54.0,26.0,2.0,4.0,4.0,0.27,14.8,2010,REG,5.0,8.0,5.0,0.43,48.1,34.0,84.0,11.0,4.0,0.0,4.0,5.0,Ferreira,David,DAL,DAL,Ferreira,David,M-F,DAL,300000.0,300000.0,2010-08-12
1155,Landon Donovan,LA,M-F,24.0,24.0,2141.0,7.0,16.0,44.0,20.0,2.0,5.0,2.0,0.29,15.9,2010,REG,5.0,11.0,5.0,0.67,45.5,25.0,32.0,14.0,3.0,0.0,3.0,4.0,Donovan,Landon,LA,LA,Donovan,Landon,F,LA,2050000.0,2127777.78,2010-08-12
1156,Javier Morales,RSL,M,26.0,25.0,2163.0,7.0,9.0,42.0,21.0,3.0,4.0,3.0,0.29,16.7,2010,REG,3.0,6.0,3.0,0.37,50.0,35.0,76.0,4.0,2.0,0.0,0.0,0.0,Morales,Javier,RSL,RSL,Morales,Javier,M,RSL,200000.0,252500.0,2010-08-12
1157,Marco Pappa,CHI,M,25.0,23.0,1961.0,7.0,5.0,57.0,26.0,3.0,4.0,3.0,0.32,12.3,2010,REG,1.0,1.0,4.0,0.23,45.6,20.0,15.0,10.0,2.0,0.0,0.0,0.0,Pappa,Marco,CHI,CHI,Pappa,Marco,M,CHI,108000.0,108000.0,2010-08-12
1158,Danny Mwanga,PHI,F,24.0,17.0,1461.0,7.0,4.0,27.0,14.0,1.0,4.0,3.0,0.43,25.9,2010,REG,0.0,3.0,1.0,0.25,51.9,16.0,16.0,6.0,0.0,0.0,0.0,0.0,Mwanga,Danny,PHI,PHI,Mwanga,Danny,F,PHI,100000.0,206250.0,2010-08-12
1159,Brian Ching,HOU,F,20.0,16.0,1425.0,7.0,3.0,25.0,9.0,1.0,5.0,2.0,0.44,28.0,2010,REG,0.0,2.0,1.0,0.19,36.0,21.0,27.0,18.0,2.0,0.0,0.0,0.0,Ching,Brian,HOU,HOU,Ching,Brian,F,HOU,350000.0,350000.0,2010-08-12
1160,Chad Barrett,TOR,F,23.0,18.0,1545.0,7.0,2.0,32.0,16.0,2.0,4.0,3.0,0.41,21.9,2010,REG,1.0,2.0,0.0,0.12,50.0,11.0,12.0,12.0,4.0,0.0,0.0,0.0,Barrett,Chad,TOR,TOR,Barrett,Chad,F,TFC,205000.0,212500.0,2010-08-12
1161,Brian McBride,CHI,F,26.0,18.0,1604.0,6.0,3.0,36.0,18.0,0.0,2.0,4.0,0.34,16.7,2010,REG,1.0,1.0,2.0,0.17,50.0,10.0,44.0,10.0,1.0,0.0,1.0,1.0,McBride,Brian,CHI,CHI,McBride,Brian,F,CHI,378000.0,403333.33,2010-08-12
1162,Marko Perovic,NE,M,25.0,24.0,2058.0,6.0,3.0,56.0,21.0,2.0,4.0,2.0,0.26,10.7,2010,REG,0.0,2.0,1.0,0.13,37.5,22.0,26.0,16.0,7.0,1.0,0.0,0.0,Perovic,Marko,NE,NE,Perovic,Marko,M,NE,180000.0,190000.0,2010-08-12
1163,Davy Arnaud,KC,M,27.0,27.0,2342.0,6.0,3.0,58.0,27.0,2.0,2.0,4.0,0.23,10.3,2010,REG,1.0,1.0,2.0,0.12,46.6,38.0,51.0,5.0,4.0,3.0,1.0,1.0,Arnaud,Davy,KC,KC,Arnaud,Davy,M,KC,220000.0,228750.0,2010-08-12
1164,Fabian Espindola,RSL,F,22.0,19.0,1514.0,6.0,2.0,39.0,15.0,3.0,3.0,3.0,0.36,15.4,2010,REG,2.0,1.0,1.0,0.12,38.5,26.0,22.0,29.0,5.0,0.0,0.0,0.0,Espindola,Fabian,RSL,RSL,Espindola,Fabian,F,RSL,75000.0,75000.0,2010-08-12
1165,Steven Lenhart,CLB,F,27.0,17.0,1640.0,6.0,2.0,55.0,21.0,1.0,1.0,5.0,0.33,10.9,2010,REG,0.0,1.0,1.0,0.11,38.2,38.0,35.0,25.0,1.0,1.0,0.0,1.0,Lenhart,Steven,CLB,CLB,Lenhart,Steven,F,CLB,40000.0,42333.34,2010-08-12
1167,Brad Davis,HOU,M,27.0,25.0,2163.0,5.0,12.0,54.0,23.0,2.0,4.0,1.0,0.21,9.3,2010,REG,3.0,6.0,6.0,0.5,42.6,28.0,19.0,3.0,4.0,0.0,3.0,4.0,Davis,Brad,HOU,HOU,Davis,Brad,M,HOU,215000.0,258062.54,2010-08-12
1169,Brek Shea,VAN,D,25.0,21.0,1797.0,5.0,4.0,39.0,19.0,3.0,4.0,1.0,0.25,12.8,2010,REG,2.0,2.0,2.0,0.2,48.7,18.0,13.0,10.0,2.0,1.0,0.0,0.0,Shea,Brek,VAN,DAL,Shea,Brek,M-D,DAL,75000.0,108000.0,2010-08-12
1170,Dominic Oduro,MTL,M,27.0,19.0,1711.0,5.0,4.0,41.0,19.0,0.0,3.0,2.0,0.26,12.2,2010,REG,1.0,3.0,1.0,0.21,46.3,17.0,22.0,31.0,0.0,0.0,0.0,0.0,Oduro,Dominic,MTL,HOU,Oduro,Dominic,F,HOU,40000.0,40000.0,2010-08-12
1171,Baggio Husidic,LA,M,22.0,18.0,1498.0,5.0,3.0,22.0,10.0,1.0,4.0,1.0,0.3,22.7,2010,REG,0.0,2.0,1.0,0.18,45.5,25.0,20.0,3.0,2.0,0.0,0.0,0.0,Husidic,Baggio,LA,CHI,Husidic,Baggio,M,CHI,75000.0,117000.0,2010-08-12
1172,Dane Richards,NY,M,25.0,23.0,2008.0,5.0,3.0,35.0,14.0,4.0,4.0,1.0,0.22,14.3,2010,REG,1.0,1.0,2.0,0.13,40.0,36.0,25.0,6.0,2.0,0.0,0.0,0.0,Richards,Dane,NY,NY,Richards,Dane,M-F,NY,135000.0,146500.0,2010-08-12
1173,Maicon Santos,CHV,F,22.0,13.0,1185.0,5.0,2.0,35.0,16.0,0.0,3.0,2.0,0.38,14.3,2010,REG,1.0,1.0,1.0,0.15,45.7,21.0,9.0,17.0,2.0,0.0,0.0,0.0,Santos,Maicon,CHV,TOR,Santos,Maicon,F,TFC,93000.0,93000.0,2010-08-12
1174,Teal Bunbury,NE,F,26.0,13.0,1441.0,5.0,2.0,41.0,23.0,2.0,2.0,3.0,0.31,12.2,2010,REG,1.0,0.0,2.0,0.12,56.1,23.0,22.0,15.0,3.0,0.0,0.0,0.0,Bunbury,Teal,NE,KC,Bunbury,Teal,F,KC,65000.0,163000.0,2010-08-12
1176,Milton Rodriguez,DAL,F,13.0,13.0,835.0,5.0,1.0,23.0,10.0,2.0,3.0,2.0,0.54,21.7,2010,REG,1.0,0.0,1.0,0.11,43.5,7.0,6.0,14.0,1.0,0.0,0.0,0.0,Rodriguez,Milton,DAL,DAL,Rodriguez,Milton,F,DAL,84000.0,114000.0,2010-08-12
1178,Andy Najar,DC,M-F,26.0,22.0,1983.0,5.0,1.0,36.0,13.0,0.0,3.0,2.0,0.23,13.9,2010,REG,0.0,1.0,0.0,0.05,36.1,25.0,25.0,6.0,6.0,0.0,0.0,0.0,Najar,Andy,DC,DC,Najar,Andy,M-F,DC,39000.0,58995.83,2010-08-12
1179,Blaise Nkufo,SEA,F,11.0,11.0,931.0,5.0,0.0,15.0,11.0,2.0,1.0,4.0,0.48,33.3,2010,REG,0.0,0.0,0.0,0.0,73.3,9.0,16.0,4.0,2.0,0.0,0.0,0.0,Nkufo,Blaise,SEA,SEA,Nkufo,Blaise,F,SEA,480000.0,480000.0,2010-08-12
1180,Zack Schilawski,NE,F,25.0,15.0,1261.0,5.0,0.0,17.0,9.0,2.0,5.0,0.0,0.36,29.4,2010,REG,0.0,0.0,0.0,0.0,52.9,13.0,8.0,15.0,0.0,0.0,0.0,0.0,Schilawski,Zack,NE,NE,Schilawski,Zack,F,NE,40000.0,42500.0,2010-08-12
1181,Danny Allsopp,DC,F,23.0,18.0,1456.0,5.0,0.0,37.0,19.0,3.0,4.0,1.0,0.31,13.5,2010,REG,0.0,0.0,0.0,0.0,51.4,10.0,19.0,4.0,2.0,0.0,0.0,0.0,Allsopp,Danny,DC,DC,Allsopp,Danny,F,DC,180000.0,217500.0,2010-08-12
1182,Mehdi Ballouchy,COL,M,27.0,25.0,2138.0,4.0,6.0,35.0,15.0,1.0,1.0,3.0,0.17,11.4,2010,REG,0.0,2.0,4.0,0.25,42.9,22.0,36.0,3.0,4.0,0.0,1.0,1.0,Ballouchy,Mehdi,COL,COL,Ballouchy,Mehdi,M,COL,88800.0,88800.0,2010-08-12
1183,Shalrie Joseph,NE,M,22.0,22.0,1931.0,4.0,5.0,37.0,19.0,1.0,2.0,2.0,0.19,10.8,2010,REG,1.0,5.0,0.0,0.23,51.4,30.0,35.0,11.0,4.0,0.0,1.0,1.0,Joseph,Shalrie,NE,NE,Joseph,Shalrie,M,NE,450000.0,475000.0,2010-08-12
1184,Jovan Kirovski,LA,M-F,21.0,11.0,932.0,4.0,2.0,20.0,6.0,2.0,3.0,1.0,0.39,20.0,2010,REG,2.0,1.0,1.0,0.19,30.0,20.0,6.0,4.0,2.0,0.0,0.0,0.0,Kirovski,Jovan,LA,LA,Kirovski,Jovan,F,LA,84000.0,84000.0,2010-08-12
1185,Atiba Harris,DAL,D,29.0,28.0,2473.0,4.0,2.0,53.0,21.0,0.0,2.0,2.0,0.15,7.5,2010,REG,1.0,0.0,2.0,0.07,39.6,51.0,30.0,18.0,8.0,0.0,0.0,0.0,Harris,Atiba,DAL,DAL,Harris,Atiba,M-F,DAL,68970.0,71970.0,2010-08-12
1187,Jeff Larentowicz,ATL,M,30.0,29.0,2617.0,4.0,1.0,41.0,13.0,1.0,1.0,3.0,0.14,9.8,2010,REG,0.0,1.0,0.0,0.03,31.7,31.0,18.0,1.0,4.0,0.0,0.0,0.0,Larentowicz,Jeff,ATL,COL,Larentowicz,Jeff,D,COL,150000.0,150000.0,2010-08-12
1188,Ryan Smith,CHV,M,26.0,25.0,2104.0,3.0,7.0,46.0,22.0,0.0,3.0,0.0,0.13,6.5,2010,REG,3.0,6.0,1.0,0.3,47.8,15.0,46.0,2.0,4.0,0.0,0.0,0.0,Smith,Ryan,CHV,KC,Smith,Ryan,M-F,KC,125000.0,129375.0,2010-08-12
1189,Joel Lindpere,NY,M,29.0,29.0,2567.0,3.0,6.0,32.0,13.0,2.0,3.0,0.0,0.11,9.4,2010,REG,1.0,3.0,3.0,0.21,40.6,45.0,44.0,7.0,3.0,0.0,0.0,0.0,Lindpere,Joel,NY,NY,Lindpere,Joel,M,NY,80000.0,115000.0,2010-08-12
1190,Brian Mullan,COL,D,29.0,22.0,1951.0,3.0,5.0,29.0,13.0,0.0,2.0,1.0,0.14,10.3,2010,REG,1.0,3.0,2.0,0.23,44.8,29.0,29.0,13.0,3.0,0.0,0.0,0.0,Mullan,Brian,COL,HOU,Mullan,Brian,M,HOU,180500.0,189812.5,2010-08-12
1191,Eddie Gaven,CLB,M,28.0,28.0,2384.0,3.0,5.0,42.0,18.0,0.0,1.0,2.0,0.11,7.1,2010,REG,3.0,2.0,3.0,0.19,42.9,23.0,54.0,7.0,0.0,0.0,0.0,0.0,Gaven,Eddie,CLB,CLB,Gaven,Eddie,M-F,CLB,190575.0,190575.0,2010-08-12
1192,Ilija Stolica,NE,F,14.0,13.0,1049.0,3.0,2.0,18.0,9.0,1.0,2.0,1.0,0.26,16.7,2010,REG,1.0,1.0,1.0,0.17,50.0,10.0,13.0,13.0,0.0,0.0,0.0,0.0,Stolica,Ilija,NE,NE,Stolica,Ilija,F,NE,216000.0,221500.0,2010-08-12
1193,Sainey Nyassi,NE,M,28.0,27.0,2297.0,3.0,2.0,39.0,11.0,0.0,3.0,0.0,0.12,7.7,2010,REG,1.0,2.0,0.0,0.08,28.2,33.0,45.0,2.0,3.0,0.0,0.0,0.0,Nyassi,Sainey,NE,NE,Nyassi,Sainey,M,NE,70000.0,76750.0,2010-08-12
1194,Ned Grabavoy,RSL,M,23.0,18.0,1562.0,3.0,1.0,10.0,6.0,1.0,3.0,0.0,0.17,30.0,2010,REG,1.0,1.0,0.0,0.06,60.0,19.0,28.0,1.0,4.0,0.0,0.0,0.0,Grabavoy,Ned,RSL,RSL,Grabavoy,Ned,M,RSL,105000.0,105000.0,2010-08-12
1195,Andy Iro,CLB,D,25.0,24.0,2117.0,3.0,1.0,14.0,3.0,2.0,2.0,1.0,0.13,21.4,2010,REG,0.0,0.0,1.0,0.04,21.4,19.0,13.0,2.0,2.0,0.0,0.0,0.0,Iro,Andy,CLB,CLB,Iro,Andy,D,CLB,52360.0,71110.0,2010-08-12
1196,Blair Gavin,CHV,M,16.0,16.0,1369.0,3.0,1.0,15.0,5.0,1.0,2.0,1.0,0.2,20.0,2010,REG,0.0,1.0,0.0,0.07,33.3,7.0,8.0,0.0,0.0,0.0,0.0,0.0,Gavin,Blair,CHV,CHV,Gavin,Blair,M,CHV,50000.0,69000.0,2010-08-12
1197,Cam Weaver,HOU,F,14.0,9.0,807.0,3.0,1.0,19.0,6.0,1.0,1.0,2.0,0.33,15.8,2010,REG,0.0,0.0,1.0,0.11,31.6,16.0,13.0,10.0,2.0,0.0,0.0,0.0,Weaver,Cam,HOU,HOU,Weaver,Cam,F,HOU,85000.0,93250.0,2010-08-12
1198,Arturo Alvarez,HOU,M,19.0,11.0,1210.0,3.0,1.0,26.0,12.0,1.0,1.0,2.0,0.22,11.5,2010,REG,1.0,1.0,0.0,0.07,46.2,16.0,17.0,0.0,3.0,0.0,0.0,0.0,Alvarez,Arturo,HOU,SJ,Alvarez,Arturo,M-F,SJ,183338.0,192675.5,2010-08-12
1199,Collins John,CHI,F,17.0,10.0,901.0,3.0,1.0,29.0,14.0,0.0,1.0,2.0,0.3,10.3,2010,REG,0.0,1.0,0.0,0.1,48.3,17.0,12.0,16.0,2.0,0.0,0.0,0.0,John,Collins,CHI,CHI,John,Collins,F,CHI,160000.0,181875.0,2010-08-12
1200,Jack McInerney,LA,F,17.0,1.0,350.0,3.0,0.0,9.0,3.0,0.0,0.0,3.0,0.77,33.3,2010,REG,0.0,0.0,0.0,0.0,33.3,10.0,3.0,3.0,1.0,0.0,0.0,0.0,McInerney,Jack,LA,PHI,McInerney,Jack,F,PHI,52250.0,116416.67,2010-08-12
1201,Ike Opara,SKC,D,11.0,10.0,914.0,3.0,0.0,10.0,5.0,1.0,2.0,1.0,0.3,30.0,2010,REG,0.0,0.0,0.0,0.0,50.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,Opara,Ike,KC,SJ,Opara,Ike,D,SJ,80000.0,165900.0,2010-08-12
1202,Calen Carr,CHI,F,14.0,4.0,538.0,3.0,0.0,12.0,6.0,1.0,1.0,2.0,0.5,25.0,2010,REG,0.0,0.0,0.0,0.0,50.0,7.0,3.0,5.0,0.0,0.0,0.0,0.0,Carr,Calen,CHI,CHI,Carr,Calen,F,CHI,71250.0,75500.0,2010-08-12
1206,Geoff Cameron,HOU,D,16.0,15.0,1321.0,3.0,0.0,27.0,13.0,2.0,2.0,1.0,0.2,11.1,2010,REG,0.0,0.0,0.0,0.0,48.1,15.0,18.0,3.0,3.0,1.0,0.0,0.0,Cameron,Geoff,HOU,HOU,Cameron,Geoff,M,HOU,40000.0,40000.0,2010-08-12
1208,Alejandro Moreno,PHI,F,26.0,25.0,1974.0,2.0,7.0,18.0,8.0,1.0,1.0,1.0,0.09,11.1,2010,REG,1.0,3.0,4.0,0.32,44.4,28.0,53.0,20.0,1.0,0.0,0.0,0.0,Moreno,Alejandro,PHI,PHI,Moreno,Alejandro,F,PHI,145000.0,158125.0,2010-08-12
1210,O'Brian White,TOR,F,24.0,9.0,1065.0,2.0,4.0,19.0,8.0,1.0,2.0,0.0,0.17,10.5,2010,REG,0.0,3.0,1.0,0.34,42.1,14.0,9.0,4.0,1.0,0.0,0.0,0.0,White,O'Brian,TOR,TOR,White,O'Brian,F,TFC,105000.0,182000.0,2010-08-12
1211,Eric Alexander,HOU,M,17.0,12.0,1054.0,2.0,3.0,15.0,6.0,1.0,1.0,1.0,0.17,13.3,2010,REG,0.0,1.0,2.0,0.26,40.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,Alexander,Eric,HOU,DAL,Alexander,Eric,M,DAL,40000.0,40000.0,2010-08-12
1212,Pablo Mastroeni,COL,M,29.0,29.0,2493.0,2.0,3.0,16.0,6.0,1.0,0.0,2.0,0.07,12.5,2010,REG,1.0,1.0,2.0,0.11,37.5,30.0,39.0,2.0,5.0,1.0,0.0,0.0,Mastroeni,Pablo,COL,COL,Mastroeni,Pablo,M-D,COL,255000.0,300500.0,2010-08-12
1213,Kyle Beckerman,RSL,M,22.0,21.0,1830.0,2.0,3.0,17.0,4.0,1.0,1.0,1.0,0.1,11.8,2010,REG,1.0,2.0,1.0,0.15,23.5,25.0,15.0,0.0,4.0,0.0,0.0,0.0,Beckerman,Kyle,RSL,RSL,Beckerman,Kyle,M,RSL,250000.0,250000.0,2010-08-12
1214,Josh Wolff,KC,F,25.0,16.0,1549.0,2.0,3.0,21.0,12.0,1.0,1.0,1.0,0.12,9.5,2010,REG,0.0,1.0,2.0,0.17,57.1,10.0,23.0,9.0,1.0,0.0,0.0,0.0,Wolff,Josh,KC,KC,Wolff,Josh,F,KC,220004.0,220004.0,2010-08-12
1215,Alan Gordon,CHV,F,21.0,12.0,1199.0,2.0,3.0,25.0,12.0,1.0,1.0,1.0,0.15,8.0,2010,REG,1.0,3.0,0.0,0.23,48.0,37.0,18.0,18.0,2.0,0.0,0.0,0.0,Gordon,Alan,CHV,CHV,Gordon,Alan,F,CHV,87731.0,87731.0,2010-08-12
1216,Sanna Nyassi,SEA,M,24.0,14.0,1241.0,2.0,3.0,29.0,12.0,1.0,1.0,1.0,0.15,6.9,2010,REG,3.0,1.0,2.0,0.22,41.4,25.0,18.0,11.0,2.0,0.0,0.0,0.0,Nyassi,Sanna,SEA,SEA,Nyassi,Sanna,M,SEA,40000.0,40000.0,2010-08-12
1217,Thierry Henry,NY,F,11.0,11.0,859.0,2.0,3.0,30.0,13.0,0.0,2.0,0.0,0.21,6.7,2010,REG,1.0,1.0,2.0,0.31,43.3,11.0,6.0,8.0,1.0,0.0,0.0,0.0,Henry,Thierry,NY,NY,Henry,Thierry,F,NY,5000000.0,5600000.04,2010-08-12
1218,Jason Garey,CLB,F,22.0,9.0,784.0,2.0,2.0,14.0,5.0,2.0,2.0,0.0,0.23,14.3,2010,REG,0.0,0.0,2.0,0.23,35.7,9.0,2.0,9.0,0.0,0.0,0.0,0.0,Garey,Jason,CLB,CLB,Garey,Jason,F,CLB,75000.0,76250.0,2010-08-12
1220,Tristan Bowen,LA,F,17.0,10.0,878.0,2.0,2.0,22.0,11.0,0.0,1.0,1.0,0.21,9.1,2010,REG,2.0,1.0,1.0,0.21,50.0,10.0,9.0,4.0,3.0,0.0,0.0,0.0,Bowen,Tristan,LA,LA,Bowen,Tristan,F,LA,70000.0,101363.63,2010-08-12
1221,Danny Cruz,HOU,M-F,25.0,14.0,1362.0,2.0,2.0,26.0,9.0,1.0,2.0,0.0,0.13,7.7,2010,REG,0.0,1.0,1.0,0.13,34.6,18.0,34.0,4.0,3.0,1.0,0.0,0.0,Cruz,Danny,HOU,HOU,Cruz,Danny,M,HOU,75000.0,118000.0,2010-08-12
1223,Santino Quaranta,DC,M-F,27.0,26.0,2331.0,2.0,2.0,58.0,24.0,0.0,1.0,1.0,0.08,3.4,2010,REG,1.0,1.0,1.0,0.08,41.4,9.0,30.0,18.0,5.0,0.0,0.0,0.0,Quaranta,Santino,DC,DC,Quaranta,Santino,M-F,DC,105000.0,107500.0,2010-08-12
1225,Adrian Serioux,HOU,D,13.0,7.0,708.0,2.0,1.0,8.0,4.0,0.0,0.0,2.0,0.25,25.0,2010,REG,0.0,1.0,0.0,0.13,50.0,13.0,6.0,0.0,1.0,0.0,0.0,0.0,Serioux,Adrian,HOU,HOU,Serioux,Adrian,D,HOU,96000.0,96000.0,2010-08-12
1226,David Beckham,LA,M,7.0,5.0,466.0,2.0,1.0,9.0,6.0,1.0,1.0,1.0,0.39,22.2,2010,REG,1.0,0.0,1.0,0.19,66.7,4.0,6.0,0.0,2.0,0.0,0.0,0.0,Beckham,David,LA,LA,Beckham,David,M,LA,5500000.0,6500000.04,2010-08-12
1227,Adam Cristman,DC,F,17.0,8.0,708.0,2.0,1.0,15.0,4.0,1.0,1.0,1.0,0.25,13.3,2010,REG,1.0,1.0,0.0,0.13,26.7,17.0,13.0,8.0,2.0,0.0,0.0,0.0,Cristman,Adam,DC,DC,Cristman,Adam,F,DC,40000.0,40000.0,2010-08-12
1229,Giancarlo Maldonado,CHV,F,10.0,7.0,612.0,2.0,1.0,16.0,4.0,0.0,1.0,1.0,0.29,12.5,2010,REG,0.0,1.0,0.0,0.15,25.0,3.0,6.0,5.0,1.0,0.0,1.0,1.0,Maldonado,Giancarlo,CHV,CHV,Maldonado,Giancarlo,F,CHV,204000.0,204000.0,2010-08-12
1230,Pat Phelan,NE,M-D,28.0,25.0,2167.0,2.0,1.0,20.0,8.0,1.0,2.0,0.0,0.08,10.0,2010,REG,0.0,0.0,1.0,0.04,40.0,34.0,20.0,1.0,5.0,0.0,0.0,0.0,Phelan,Pat,NE,NE,Phelan,Pat,M,NE,40000.0,40000.0,2010-08-12
1231,Chris Pontius,LA,M-F,17.0,13.0,1189.0,2.0,1.0,25.0,6.0,0.0,0.0,2.0,0.15,8.0,2010,REG,1.0,0.0,1.0,0.08,24.0,12.0,20.0,5.0,1.0,0.0,0.0,0.0,Pontius,Chris,LA,DC,Pontius,Chris,M-F,DC,100000.0,100000.0,2010-08-12
1232,Seth Stammler,NY,M-D,21.0,17.0,1441.0,2.0,1.0,26.0,6.0,1.0,1.0,1.0,0.12,7.7,2010,REG,1.0,1.0,0.0,0.06,23.1,18.0,9.0,1.0,4.0,0.0,0.0,0.0,Stammler,Seth,NY,NY,Stammler,Seth,M,NY,123900.0,123900.0,2010-08-12
1233,Adam Moffat,CLB,M,24.0,23.0,1951.0,2.0,1.0,41.0,17.0,0.0,1.0,1.0,0.09,4.9,2010,REG,1.0,1.0,0.0,0.05,41.5,21.0,18.0,5.0,8.0,0.0,0.0,0.0,Moffat,Adam,CLB,CLB,Moffat,Adam,M,CLB,50400.0,50400.0,2010-08-12
1234,Lovel Palmer,HOU,D,26.0,24.0,2049.0,2.0,1.0,41.0,13.0,0.0,2.0,0.0,0.09,4.9,2010,REG,0.0,0.0,1.0,0.04,31.7,25.0,17.0,4.0,4.0,2.0,0.0,0.0,Palmer,Lovel,HOU,HOU,Palmer,Lovel,M,HOU,60000.0,71250.0,2010-08-12
1236,Zak Boggs,NE,M,9.0,4.0,390.0,2.0,0.0,6.0,4.0,0.0,0.0,2.0,0.46,33.3,2010,REG,0.0,0.0,0.0,0.0,66.7,6.0,7.0,0.0,0.0,0.0,0.0,0.0,Boggs,Zak,NE,NE,Boggs,Zak,F-M,NE,40000.0,40000.0,2010-08-12
1237,Nat Borchers,RSL,D,30.0,30.0,2673.0,2.0,0.0,10.0,4.0,0.0,1.0,1.0,0.07,20.0,2010,REG,0.0,0.0,0.0,0.0,40.0,22.0,13.0,1.0,4.0,0.0,0.0,0.0,Borchers,Nat,RSL,RSL,Borchers,Nat,D,RSL,140000.0,147500.0,2010-08-12
1238,Peter Lowry,CHI,M,15.0,12.0,1004.0,2.0,0.0,11.0,4.0,1.0,2.0,0.0,0.18,18.2,2010,REG,0.0,0.0,0.0,0.0,36.4,9.0,4.0,1.0,2.0,0.0,0.0,0.0,Lowry,Peter,CHI,CHI,Lowry,Peter,F-M,CHI,40000.0,40000.0,2010-08-12
1239,Omar Gonzalez,USA,D,28.0,28.0,2520.0,2.0,0.0,13.0,4.0,0.0,0.0,2.0,0.07,15.4,2010,REG,0.0,0.0,0.0,0.0,30.8,22.0,13.0,0.0,8.0,0.0,0.0,0.0,Gonzalez,Omar,UNK,LA,Gonzalez,Omar,D,LA,80000.0,157000.0,2010-08-12
1241,Jaime Moreno,DC,F,21.0,8.0,905.0,2.0,0.0,14.0,8.0,0.0,1.0,1.0,0.2,14.3,2010,REG,0.0,0.0,0.0,0.0,57.1,7.0,23.0,3.0,1.0,1.0,1.0,1.0,Moreno,Jaime,DC,DC,Moreno,Jaime,F,DC,160000.0,185000.0,2010-08-12
1242,Wells Thompson,COL,D,27.0,13.0,1287.0,2.0,0.0,16.0,8.0,0.0,2.0,0.0,0.14,12.5,2010,REG,0.0,0.0,0.0,0.0,50.0,20.0,23.0,4.0,5.0,0.0,0.0,0.0,Thompson,Wells,COL,COL,Thompson,Wells,M,COL,40000.0,48125.0,2010-08-12
1243,Jack Jewsbury,KC,M,29.0,17.0,1675.0,2.0,0.0,32.0,15.0,0.0,2.0,0.0,0.11,6.3,2010,REG,0.0,0.0,0.0,0.0,46.9,14.0,25.0,1.0,4.0,0.0,1.0,1.0,Jewsbury,Jack,KC,KC,Jewsbury,Jack,D,KC,145000.0,154125.0,2010-08-12
1244,Bobby Convey,SJ,M,28.0,28.0,2472.0,1.0,10.0,18.0,9.0,0.0,0.0,1.0,0.04,5.6,2010,REG,5.0,7.0,3.0,0.36,50.0,35.0,36.0,4.0,7.0,0.0,0.0,0.0,Convey,Bobby,SJ,SJ,Convey,Bobby,M,SJ,285000.0,307500.0,2010-08-12
1245,Patrick Nyarko,CHI,F-M,27.0,22.0,2068.0,1.0,10.0,27.0,12.0,0.0,0.0,1.0,0.04,3.7,2010,REG,2.0,6.0,4.0,0.44,44.4,21.0,41.0,9.0,2.0,0.0,0.0,0.0,Nyarko,Patrick,CHI,CHI,Nyarko,Patrick,F,CHI,80000.0,160000.0,2010-08-12
1246,Michael Stephens,LA,M,25.0,21.0,1884.0,1.0,8.0,19.0,9.0,1.0,0.0,1.0,0.05,5.3,2010,REG,3.0,6.0,2.0,0.38,47.4,13.0,6.0,0.0,4.0,0.0,0.0,0.0,Stephens,Michael,LA,LA,Stephens,Michael,M,LA,40000.0,42500.0,2010-08-12
1247,Jamie Smith,COL,M,22.0,16.0,1357.0,1.0,8.0,23.0,10.0,1.0,1.0,0.0,0.07,4.3,2010,REG,3.0,5.0,3.0,0.53,43.5,19.0,15.0,0.0,3.0,0.0,0.0,0.0,Smith,Jamie,COL,COL,Smith,Jamie,M,COL,172800.0,182800.0,2010-08-12
1248,Ryan Johnson,SJ,F,27.0,19.0,1706.0,1.0,8.0,37.0,18.0,1.0,1.0,0.0,0.05,2.7,2010,REG,3.0,5.0,3.0,0.42,48.6,23.0,24.0,19.0,2.0,0.0,0.0,0.0,Johnson,Ryan,SJ,SJ,Johnson,Ryan,M,SJ,125000.0,125000.0,2010-08-12
1249,Andy Williams,RSL,M,30.0,20.0,1862.0,1.0,7.0,32.0,10.0,1.0,1.0,0.0,0.05,3.1,2010,REG,1.0,6.0,1.0,0.34,31.3,24.0,25.0,2.0,5.0,0.0,0.0,0.0,Williams,Andy,RSL,RSL,Williams,Andy,M,RSL,88200.0,88200.0,2010-08-12
1250,Nick LaBrocca,TOR,M,28.0,24.0,2177.0,1.0,6.0,26.0,9.0,0.0,1.0,0.0,0.04,3.8,2010,REG,1.0,1.0,5.0,0.25,34.6,16.0,14.0,2.0,4.0,0.0,0.0,0.0,LaBrocca,Nick,TOR,TOR,LaBrocca,Nick,M,TFC,77000.0,79500.0,2010-08-12
