,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG,PKA,Last Name,First Name,Club Name,Club Name_Dup,Last Name_Dup,First Name_Dup,POS_Dup,Club_Dup,Base Salary,Guaranteed Compensation,Date
1652,Dilly Duka,CLB,M,22.0,16.0,1399.0,2.0,3.0,26.0,8.0,0.0,0.0,2.0,0.13,7.7,2011,REG,2.0,3.0,0.0,0.19,30.8,22.0,18.0,1.0,2.0,0.0,0.0,0.0,Duka,Dilly,CLB,,,,,,,,
1655,Júlio César,KC,D,27.0,25.0,2149.0,2.0,2.0,9.0,4.0,1.0,2.0,0.0,0.08,22.2,2011,REG,1.0,2.0,0.0,0.08,44.4,30.0,18.0,1.0,3.0,1.0,0.0,0.0,César,Júlio,KC,,,,,,,,
1661,Josh Gardner,CLB,M,22.0,21.0,1812.0,2.0,2.0,22.0,7.0,1.0,1.0,1.0,0.1,9.1,2011,REG,2.0,1.0,1.0,0.1,31.8,13.0,3.0,0.0,0.0,0.0,0.0,0.0,Gardner,Josh,CLB,,,,,,,,
1662,Mike Fucito,SEA,F,19.0,13.0,1045.0,2.0,2.0,24.0,7.0,1.0,2.0,0.0,0.17,8.3,2011,REG,0.0,1.0,1.0,0.17,29.2,21.0,11.0,9.0,2.0,0.0,0.0,0.0,Fucito,Mike,SEA,,,,,,,,
1669,Jeff Cunningham,CLB,F,21.0,4.0,591.0,2.0,1.0,13.0,3.0,1.0,0.0,2.0,0.3,15.4,2011,REG,0.0,1.0,0.0,0.15,23.1,3.0,8.0,13.0,0.0,0.0,1.0,1.0,Cunningham,Jeff,CLB,,,,,,,,
1673,Jámison Olave,RSL,D,24.0,24.0,2128.0,2.0,1.0,20.0,7.0,0.0,1.0,1.0,0.08,10.0,2011,REG,0.0,1.0,0.0,0.04,35.0,30.0,17.0,3.0,3.0,1.0,0.0,0.0,Olave,Jámison,RSL,,,,,,,,
1688,Pável Pardo,CHI,M,13.0,12.0,1047.0,1.0,5.0,6.0,3.0,0.0,1.0,0.0,0.09,16.7,2011,REG,1.0,4.0,1.0,0.43,50.0,9.0,6.0,0.0,0.0,1.0,0.0,0.0,Pardo,Pável,CHI,,,,,,,,
1702,Miguel López,LA,M,24.0,14.0,1165.0,1.0,3.0,30.0,8.0,1.0,0.0,1.0,0.08,3.3,2011,REG,1.0,1.0,2.0,0.23,26.7,19.0,22.0,10.0,2.0,0.0,0.0,0.0,López,Miguel,LA,,,,,,,,
1706,Mike Chabala,HOU,D,21.0,15.0,1423.0,1.0,2.0,7.0,4.0,1.0,1.0,0.0,0.06,14.3,2011,REG,1.0,2.0,0.0,0.13,57.1,9.0,8.0,2.0,5.0,0.0,0.0,0.0,Chabala,Mike,HOU,,,,,,,,
1712,Jean-Marc Alexandre,HAI,F,19.0,9.0,703.0,1.0,2.0,12.0,4.0,1.0,1.0,0.0,0.13,8.3,2011,REG,0.0,1.0,1.0,0.26,33.3,19.0,9.0,8.0,3.0,0.0,0.0,0.0,Alexandre,Jean-Marc,UNK,,,,,,,,
1713,Austin da Luz,DC,M,21.0,9.0,983.0,1.0,2.0,16.0,5.0,0.0,0.0,1.0,0.09,6.3,2011,REG,0.0,0.0,2.0,0.18,31.3,9.0,2.0,1.0,5.0,0.0,0.0,0.0,da Luz,Austin,DC,,,,,,,,
1714,Gaston Puerari,CHI,F,14.0,10.0,808.0,1.0,2.0,17.0,8.0,0.0,1.0,0.0,0.11,5.9,2011,REG,0.0,0.0,2.0,0.22,47.1,18.0,20.0,7.0,3.0,0.0,0.0,0.0,Puerari,Gaston,CHI,,,,,,,,
1718,Nelson González,RSL,M,6.0,2.0,174.0,1.0,1.0,5.0,2.0,0.0,1.0,0.0,0.52,20.0,2011,REG,0.0,0.0,1.0,0.52,40.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,González,Nelson,RSL,,,,,,,,
1723,Michael Umaña,CHV,D,22.0,21.0,1796.0,1.0,1.0,9.0,3.0,0.0,0.0,1.0,0.05,11.1,2011,REG,0.0,1.0,0.0,0.05,33.3,21.0,13.0,0.0,3.0,0.0,0.0,0.0,Umaña,Michael,CHV,,,,,,,,
1724,Marko Perovic,NE,M,4.0,4.0,262.0,1.0,1.0,10.0,3.0,0.0,1.0,0.0,0.34,10.0,2011,REG,0.0,0.0,1.0,0.34,30.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,Perovic,Marko,NE,,,,,,,,
1728,Bernardo Añor,CLB,M,13.0,6.0,640.0,1.0,1.0,15.0,5.0,0.0,0.0,1.0,0.14,6.7,2011,REG,1.0,0.0,1.0,0.14,33.3,7.0,8.0,2.0,2.0,0.0,0.0,0.0,Añor,Bernardo,CLB,,,,,,,,
1732,Milton Rodriguez,DAL,F,13.0,5.0,511.0,1.0,1.0,19.0,6.0,0.0,1.0,0.0,0.18,5.3,2011,REG,1.0,0.0,1.0,0.18,31.6,8.0,2.0,6.0,1.0,0.0,0.0,0.0,Rodriguez,Milton,DAL,,,,,,,,
1734,Carlos Valdés,PHI,D,32.0,32.0,2880.0,1.0,1.0,22.0,4.0,0.0,0.0,1.0,0.03,4.5,2011,REG,0.0,1.0,0.0,0.03,18.2,37.0,33.0,2.0,8.0,0.0,0.0,0.0,Valdés,Carlos,PHI,,,,,,,,
1736,Jorge Villafaña,USA,D-M,25.0,24.0,1793.0,1.0,1.0,29.0,12.0,0.0,0.0,1.0,0.05,3.4,2011,REG,0.0,0.0,1.0,0.05,41.4,21.0,34.0,1.0,2.0,1.0,0.0,0.0,Villafaña,Jorge,UNK,,,,,,,,
1739,Ilija Stolica,NE,F,2.0,0.0,73.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.23,100.0,2011,REG,0.0,0.0,0.0,0.0,100.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,Stolica,Ilija,NE,,,,,,,,
1745,Leonardo,HOU,D,7.0,7.0,630.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.14,50.0,2011,REG,0.0,0.0,0.0,0.0,50.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,,Leonardo,HOU,,,,,,,,
1747,Jimmy Conrad,CHV,D,2.0,2.0,180.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.5,33.3,2011,REG,0.0,0.0,0.0,0.0,33.3,1.0,3.0,0.0,1.0,0.0,0.0,0.0,Conrad,Jimmy,CHV,,,,,,,,
1751,Dan Gargan,CHI,D,25.0,21.0,1848.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.05,14.3,2011,REG,0.0,0.0,0.0,0.0,14.3,30.0,11.0,2.0,7.0,0.0,0.0,0.0,Gargan,Dan,CHI,,,,,,,,
1753,Koke,HOU,F,7.0,2.0,233.0,1.0,0.0,7.0,4.0,0.0,1.0,0.0,0.39,14.3,2011,REG,0.0,0.0,0.0,0.0,57.1,3.0,3.0,2.0,0.0,0.0,0.0,0.0,,Koke,HOU,,,,,,,,
1755,Edward Johnson,POR,F,7.0,3.0,265.0,1.0,0.0,7.0,3.0,0.0,1.0,0.0,0.34,14.3,2011,REG,0.0,0.0,0.0,0.0,42.9,4.0,5.0,4.0,1.0,0.0,0.0,0.0,Johnson,Edward,POR,,,,,,,,
1762,Andre Hainault,HOU,D,31.0,31.0,2790.0,1.0,0.0,9.0,1.0,1.0,0.0,1.0,0.03,11.1,2011,REG,0.0,0.0,0.0,0.0,11.1,44.0,24.0,1.0,1.0,0.0,0.0,0.0,Hainault,Andre,HOU,,,,,,,,
1771,A.J. Soares,NE,D,28.0,28.0,2464.0,1.0,0.0,17.0,5.0,0.0,0.0,1.0,0.04,5.9,2011,REG,0.0,0.0,0.0,0.0,29.4,27.0,24.0,0.0,2.0,2.0,0.0,0.0,Soares,A.J.,NE,,,,,,,,
1782,Rafa Márquez,NY,M,19.0,19.0,1684.0,0.0,5.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,4.0,1.0,0.27,25.0,26.0,27.0,0.0,6.0,0.0,0.0,1.0,Márquez,Rafa,NY,,,,,,,,
1787,Sebastián Miranda,CLB,D,34.0,34.0,3044.0,0.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2011,REG,1.0,1.0,2.0,0.09,25.0,17.0,13.0,2.0,5.0,0.0,0.0,0.0,Miranda,Sebastián,CLB,,,,,,,,
1792,Jair Benítez,DAL,D,27.0,25.0,2231.0,0.0,3.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,2011,REG,1.0,0.0,3.0,0.12,13.3,23.0,33.0,1.0,2.0,0.0,0.0,0.0,Benítez,Jair,DAL,,,,,,,,
1811,Simon Elliott,CHV,M,24.0,21.0,1824.0,0.0,2.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,2.0,0.1,5.9,19.0,21.0,0.0,3.0,0.0,0.0,0.0,Elliott,Simon,CHV,,,,,,,,
1817,Abdoulie Mansally,NE,D,25.0,9.0,1140.0,0.0,2.0,29.0,4.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,2.0,0.0,0.16,13.8,28.0,29.0,10.0,3.0,1.0,0.0,0.0,Mansally,Abdoulie,NE,,,,,,,,
1822,Didier Domi,NE,D,9.0,8.0,680.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,1.0,0.13,0.0,8.0,4.0,0.0,1.0,0.0,0.0,0.0,Domi,Didier,NE,,,,,,,,
1825,Leonardo González,SEA,D,14.0,12.0,1069.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,REG,1.0,1.0,0.0,0.08,25.0,22.0,8.0,1.0,5.0,0.0,0.0,0.0,González,Leonardo,SEA,,,,,,,,
1827,Tony Beltran,RSL,D,22.0,19.0,1731.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2011,REG,1.0,0.0,1.0,0.05,60.0,14.0,20.0,1.0,1.0,1.0,0.0,0.0,Beltran,Tony,RSL,,,,,,,,
1838,Fred,DC,M,17.0,5.0,596.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,1.0,0.15,10.0,14.0,10.0,1.0,3.0,0.0,0.0,0.0,,Fred,DC,,,,,,,,
1839,Jhon Kennedy Hurtado,SEA,D,23.0,23.0,1945.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,1.0,0.0,0.05,10.0,30.0,16.0,1.0,4.0,2.0,0.0,0.0,Kennedy Hurtado,Jhon,SEA,,,,,,,,
1841,Birahim Diop,KC,M,18.0,8.0,761.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,1.0,0.12,10.0,19.0,6.0,0.0,3.0,0.0,0.0,0.0,Diop,Birahim,KC,,,,,,,,
1842,Matt Stinson,TOR,M,13.0,5.0,675.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,REG,1.0,1.0,0.0,0.13,10.0,11.0,6.0,1.0,1.0,0.0,0.0,0.0,Stinson,Matt,TOR,,,,,,,,
1849,Jéferson,KC,M,9.0,8.0,571.0,0.0,1.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,2011,REG,1.0,1.0,0.0,0.16,17.6,4.0,1.0,1.0,1.0,0.0,0.0,0.0,,Jéferson,KC,,,,,,,,
1860,Rodrigo López,POR,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,López,Rodrigo,POR,,,,,,,,
1866,Michael Holody,COL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holody,Michael,COL,,,,,,,,
1867,Mike Banner,CHI,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Banner,Mike,CHI,,,,,,,,
1871,Ousmane Dabo,NE,M,3.0,3.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Dabo,Ousmane,NE,,,,,,,,
1874,Nick Kounenakis,KC,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kounenakis,Nick,KC,,,,,,,,
1875,Nery Castillo,CHI,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Castillo,Nery,CHI,,,,,,,,
1877,André Luiz,SJ,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Luiz,André,SJ,,,,,,,,
1878,Blaise Nkufo,SEA,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nkufo,Blaise,SEA,,,,,,,,
1879,Bratislav Ristic,CHI,M,9.0,5.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,Ristic,Bratislav,CHI,,,,,,,,
1880,Peterson Joseph,KC,M,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Joseph,Peterson,KC,,,,,,,,
1884,Francisco Navas Cobo,HOU,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Navas Cobo,Francisco,HOU,,,,,,,,
1887,Korede Aiyegbusi,KC,D,3.0,1.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Aiyegbusi,Korede,KC,,,,,,,,
1888,Mike Seamon,SEA,M-F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seamon,Mike,SEA,,,,,,,,
1890,Miguel Montaño,SEA,F,2.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Montaño,Miguel,SEA,,,,,,,,
1891,Omar Jasseh,SJ,M,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jasseh,Omar,SJ,,,,,,,,
1892,Jordan Graye,HOU,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Graye,Jordan,HOU,,,,,,,,
1894,Juan Diego González,PHI,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diego González,Juan,PHI,,,,,,,,
1896,Junior Carreiro,DC,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carreiro,Junior,DC,,,,,,,,
1897,Bryan de la Fuente,CHV,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,de la Fuente,Bryan,CHV,,,,,,,,
1899,Andy Adlard,CLB,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adlard,Andy,CLB,,,,,,,,
1907,Marcos Paullo,NY,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Paullo,Marcos,NY,,,,,,,,
1908,Davy Armstrong,COL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armstrong,Davy,COL,,,,,,,,
1913,Mike Jones,KC,D,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jones,Mike,KC,,,,,,,,
1916,Chris Taylor,POR,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taylor,Chris,POR,,,,,,,,
1917,Freddie Braun,POR,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Braun,Freddie,POR,,,,,,,,
1920,Davis Paul,CHI,F,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Paul,Davis,CHI,,,,,,,,
1923,Rodrigo Brasesco,DC,D,3.0,2.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Brasesco,Rodrigo,DC,,,,,,,,
1928,Michael Augustine,NE,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Augustine,Michael,NE,,,,,,,,
1931,Chris Agorsor,PHI,F,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Agorsor,Chris,PHI,,,,,,,,
1936,Maxwell Griffin,SJ,F,4.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Griffin,Maxwell,SJ,,,,,,,,
1937,Lawrence Olum,POR,D,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Olum,Lawrence,POR,,,,,,,,
1938,Carlyle Mitchell,VAN,D,3.0,3.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Mitchell,Carlyle,VAN,,,,,,,,
1939,Morgan Langley,PHI,M,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Langley,Morgan,PHI,,,,,,,,
1940,Yordany Álvarez,RSL,M,5.0,4.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,21.0,4.0,0.0,4.0,0.0,0.0,0.0,Álvarez,Yordany,RSL,,,,,,,,
1941,Nico Muñiz,RSL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Muñiz,Nico,RSL,,,,,,,,
1946,Seth Owusu,CHV,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Owusu,Seth,CHV,,,,,,,,
1950,Josh Janniere,COL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Janniere,Josh,COL,,,,,,,,
1952,Teddy Schneider,NY,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Schneider,Teddy,NY,,,,,,,,
1968,Kevin Harmse,VAN,M,3.0,1.0,126.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Harmse,Kevin,VAN,,,,,,,,
1990,Artur Aghasyan,RSL,F,4.0,1.0,98.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,Aghasyan,Artur,RSL,,,,,,,,
1994,Dan Keat,LA,M,5.0,1.0,117.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Keat,Dan,LA,,,,,,,,
2000,A.J. DeLaGarza,HOU,D,30.0,30.0,2627.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,33.3,31.0,31.0,1.0,3.0,0.0,0.0,0.0,DeLaGarza,A.J.,HOU,,,,,,,,
2006,David Júnior Lopes,CHV,D,8.0,7.0,580.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,2.0,1.0,0.0,0.0,Júnior Lopes,David,CHV,,,,,,,,
2007,Jay DeMerit,VAN,D,21.0,20.0,1671.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,25.0,20.0,13.0,1.0,4.0,0.0,0.0,0.0,DeMerit,Jay,VAN,,,,,,,,
2018,Nana Attakora,SJ,D,12.0,9.0,756.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,2.0,0.0,0.0,0.0,Attakora,Nana,SJ,,,,,,,,
2023,Stéphane Auvray,KC,M,12.0,4.0,449.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,Auvray,Stéphane,KC,,,,,,,,
2036,Alen Stevanovic,TOR,M,12.0,9.0,773.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,27.3,6.0,10.0,2.0,1.0,0.0,0.0,0.0,Stevanovic,Alen,TOR,,,,,,,,
2059,Blas Pérez,DAL,F,20.0,19.0,1705.0,9.0,4.0,53.0,23.0,0.0,3.0,6.0,0.48,17.0,2012,REG,2.0,4.0,0.0,0.21,43.4,33.0,37.0,18.0,3.0,1.0,0.0,1.0,Pérez,Blas,DAL,,,,,,,,
2064,Jaime Castrillón,COL,M,30.0,29.0,2417.0,8.0,4.0,50.0,18.0,3.0,4.0,4.0,0.3,16.0,2012,REG,2.0,2.0,2.0,0.15,36.0,41.0,29.0,0.0,3.0,1.0,0.0,0.0,Castrillón,Jaime,COL,,,,,,,,
2070,Dwayne De Rosario,DC,M,26.0,25.0,2195.0,7.0,12.0,81.0,26.0,2.0,6.0,1.0,0.29,8.6,2012,REG,3.0,8.0,4.0,0.49,32.1,36.0,31.0,34.0,4.0,0.0,0.0,1.0,De Rosario,Dwayne,DC,,,,,,,,
2084,Gabriel Gómez,PAN,M,24.0,18.0,1578.0,6.0,0.0,30.0,9.0,3.0,3.0,3.0,0.34,20.0,2012,REG,0.0,0.0,0.0,0.0,30.0,36.0,24.0,2.0,5.0,0.0,1.0,1.0,Gómez,Gabriel,UNK,,,,,,,,
2097,Sébastien Le Toux,NY,F,33.0,27.0,2522.0,5.0,2.0,34.0,16.0,2.0,4.0,1.0,0.18,14.7,2012,REG,1.0,1.0,1.0,0.07,47.1,17.0,24.0,18.0,0.0,0.0,0.0,0.0,Le Toux,Sébastien,NY,,,,,,,,
2103,Felipe,NY,M,30.0,30.0,2652.0,4.0,10.0,59.0,23.0,1.0,2.0,2.0,0.14,6.8,2012,REG,2.0,7.0,3.0,0.34,39.0,48.0,70.0,3.0,5.0,0.0,0.0,0.0,,Felipe,NY,,,,,,,,
2106,Boniek Garcia,HOU,M,17.0,17.0,1530.0,4.0,6.0,30.0,12.0,1.0,3.0,1.0,0.24,13.3,2012,REG,0.0,4.0,2.0,0.35,40.0,19.0,31.0,4.0,0.0,0.0,0.0,0.0,Garcia,Boniek,HOU,,,,,,,,
2110,Álvaro Fernández,CHI,M,27.0,23.0,1863.0,4.0,3.0,29.0,7.0,0.0,2.0,2.0,0.19,13.8,2012,REG,2.0,3.0,0.0,0.14,24.1,16.0,43.0,4.0,2.0,1.0,0.0,0.0,Fernández,Álvaro,CHI,,,,,,,,
2124,Marvin Chávez,SJ,M,27.0,23.0,1910.0,3.0,13.0,42.0,14.0,0.0,2.0,1.0,0.14,7.1,2012,REG,3.0,5.0,8.0,0.61,33.3,38.0,32.0,5.0,5.0,0.0,0.0,0.0,Chávez,Marvin,SJ,,,,,,,,
2131,Miller Bolaños,ECU,M,24.0,21.0,1858.0,3.0,4.0,68.0,20.0,1.0,2.0,1.0,0.15,4.4,2012,REG,1.0,1.0,3.0,0.19,29.4,45.0,43.0,3.0,5.0,0.0,0.0,0.0,Bolaños,Miller,UNK,,,,,,,,
