,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG,PKA,First Name,Last Name,Club_Dup,Last Name_Dup,First Name_Dup,POS_Dup,Base Salary,Guaranteed Compensation
1154,David Ferreira,DAL,M,30.0,30.0,2699.0,8.0,13.0,54.0,26.0,2.0,4.0,4.0,0.27,14.8,2010,REG,5.0,8.0,5.0,0.43,48.1,34.0,84.0,11.0,4.0,0.0,4.0,5.0,David,Ferreira,DAL,Ferreira,David,M-F,300000.0,300000.0
1155,Landon Donovan,LA ,M-F,24.0,24.0,2141.0,7.0,16.0,44.0,20.0,2.0,5.0,2.0,0.29,15.9,2010,REG,5.0,11.0,5.0,0.67,45.5,25.0,32.0,14.0,3.0,0.0,3.0,4.0,Landon,Donovan,LA,Donovan,Landon,F,2050000.0,2127777.78
1156,Javier Morales,RSL,M,26.0,25.0,2163.0,7.0,9.0,42.0,21.0,3.0,4.0,3.0,0.29,16.7,2010,REG,3.0,6.0,3.0,0.37,50.0,35.0,76.0,4.0,2.0,0.0,0.0,0.0,Javier,Morales,RSL,Morales,Javier,M,200000.0,252500.0
1157,Marco Pappa,CHI,M,25.0,23.0,1961.0,7.0,5.0,57.0,26.0,3.0,4.0,3.0,0.32,12.3,2010,REG,1.0,1.0,4.0,0.23,45.6,20.0,15.0,10.0,2.0,0.0,0.0,0.0,Marco,Pappa,CHI,Pappa,Marco,M,108000.0,108000.0
1158,Danny Mwanga,PHI,F,24.0,17.0,1461.0,7.0,4.0,27.0,14.0,1.0,4.0,3.0,0.43,25.9,2010,REG,0.0,3.0,1.0,0.25,51.9,16.0,16.0,6.0,0.0,0.0,0.0,0.0,Danny,Mwanga,PHI,Mwanga,Danny,F,100000.0,206250.0
1159,Brian Ching,HOU,F,20.0,16.0,1425.0,7.0,3.0,25.0,9.0,1.0,5.0,2.0,0.44,28.0,2010,REG,0.0,2.0,1.0,0.19,36.0,21.0,27.0,18.0,2.0,0.0,0.0,0.0,Brian,Ching,HOU,Ching,Brian,F,350000.0,350000.0
1160,Chad Barrett,TOR,F,23.0,18.0,1545.0,7.0,2.0,32.0,16.0,2.0,4.0,3.0,0.41,21.9,2010,REG,1.0,2.0,0.0,0.12,50.0,11.0,12.0,12.0,4.0,0.0,0.0,0.0,Chad,Barrett,TFC,Barrett,Chad,F,205000.0,212500.0
1161,Brian McBride,CHI,F,26.0,18.0,1604.0,6.0,3.0,36.0,18.0,0.0,2.0,4.0,0.34,16.7,2010,REG,1.0,1.0,2.0,0.17,50.0,10.0,44.0,10.0,1.0,0.0,1.0,1.0,Brian,McBride,CHI,McBride,Brian,F,378000.0,403333.33
1162,Marko Perovic,NE ,M,25.0,24.0,2058.0,6.0,3.0,56.0,21.0,2.0,4.0,2.0,0.26,10.7,2010,REG,0.0,2.0,1.0,0.13,37.5,22.0,26.0,16.0,7.0,1.0,0.0,0.0,Marko,Perovic,NE,Perovic,Marko,M,180000.0,190000.0
1163,Davy Arnaud,KC ,M,27.0,27.0,2342.0,6.0,3.0,58.0,27.0,2.0,2.0,4.0,0.23,10.3,2010,REG,1.0,1.0,2.0,0.12,46.6,38.0,51.0,5.0,4.0,3.0,1.0,1.0,Davy,Arnaud,KC,Arnaud,Davy,M,220000.0,228750.0
1164,Fabian Espindola,RSL,F,22.0,19.0,1514.0,6.0,2.0,39.0,15.0,3.0,3.0,3.0,0.36,15.4,2010,REG,2.0,1.0,1.0,0.12,38.5,26.0,22.0,29.0,5.0,0.0,0.0,0.0,Fabian,Espindola,RSL,Espindola,Fabian,F,75000.0,75000.0
1165,Steven Lenhart,CLB,F,27.0,17.0,1640.0,6.0,2.0,55.0,21.0,1.0,1.0,5.0,0.33,10.9,2010,REG,0.0,1.0,1.0,0.11,38.2,38.0,35.0,25.0,1.0,1.0,0.0,1.0,Steven,Lenhart,CLB,Lenhart,Steven,F,40000.0,42333.34
1166,Jesus Padilla,CHV,M,26.0,14.0,1378.0,6.0,0.0,39.0,15.0,1.0,2.0,4.0,0.39,15.4,2010,REG,0.0,0.0,0.0,0.0,38.5,14.0,18.0,15.0,3.0,0.0,0.0,0.0,Jesus,Padilla,,,,,,
1167,Brad Davis,HOU,M,27.0,25.0,2163.0,5.0,12.0,54.0,23.0,2.0,4.0,1.0,0.21,9.3,2010,REG,3.0,6.0,6.0,0.5,42.6,28.0,19.0,3.0,4.0,0.0,3.0,4.0,Brad,Davis,HOU,Davis,Brad,M,215000.0,258062.54
1168,Robbie Findley,RSL,F,24.0,15.0,1355.0,5.0,4.0,33.0,14.0,1.0,3.0,2.0,0.33,15.2,2010,REG,2.0,3.0,1.0,0.27,42.4,5.0,23.0,22.0,0.0,0.0,1.0,2.0,Robbie,Findley,,,,,,
1169,Brek Shea,VAN,D,25.0,21.0,1797.0,5.0,4.0,39.0,19.0,3.0,4.0,1.0,0.25,12.8,2010,REG,2.0,2.0,2.0,0.2,48.7,18.0,13.0,10.0,2.0,1.0,0.0,0.0,Brek,Shea,DAL,Shea,Brek,M-D,75000.0,108000.0
1170,Dominic Oduro,MTL,M,27.0,19.0,1711.0,5.0,4.0,41.0,19.0,0.0,3.0,2.0,0.26,12.2,2010,REG,1.0,3.0,1.0,0.21,46.3,17.0,22.0,31.0,0.0,0.0,0.0,0.0,Dominic,Oduro,HOU,Oduro,Dominic,F,40000.0,40000.0
1171,Baggio Husidic,LA,M,22.0,18.0,1498.0,5.0,3.0,22.0,10.0,1.0,4.0,1.0,0.3,22.7,2010,REG,0.0,2.0,1.0,0.18,45.5,25.0,20.0,3.0,2.0,0.0,0.0,0.0,Baggio,Husidic,CHI,Husidic,Baggio,M,75000.0,117000.0
1172,Dane Richards,NY ,M,25.0,23.0,2008.0,5.0,3.0,35.0,14.0,4.0,4.0,1.0,0.22,14.3,2010,REG,1.0,1.0,2.0,0.13,40.0,36.0,25.0,6.0,2.0,0.0,0.0,0.0,Dane,Richards,NY,Richards,Dane,M-F,135000.0,146500.0
1173,Maicon Santos,CHV,F,22.0,13.0,1185.0,5.0,2.0,35.0,16.0,0.0,3.0,2.0,0.38,14.3,2010,REG,1.0,1.0,1.0,0.15,45.7,21.0,9.0,17.0,2.0,0.0,0.0,0.0,Maicon,Santos,TFC,Santos,Maicon,F,93000.0,93000.0
1174,Teal Bunbury,NE,F,26.0,13.0,1441.0,5.0,2.0,41.0,23.0,2.0,2.0,3.0,0.31,12.2,2010,REG,1.0,0.0,2.0,0.12,56.1,23.0,22.0,15.0,3.0,0.0,0.0,0.0,Teal,Bunbury,KC,Bunbury,Teal,F,65000.0,163000.0
1175,Birahim Diop,KC ,M,14.0,7.0,497.0,5.0,1.0,15.0,10.0,2.0,5.0,0.0,0.91,33.3,2010,REG,0.0,1.0,0.0,0.18,66.7,12.0,9.0,10.0,0.0,0.0,0.0,0.0,Birahim,Diop,,,,,,
1176,Milton Rodriguez,DAL,F,13.0,13.0,835.0,5.0,1.0,23.0,10.0,2.0,3.0,2.0,0.54,21.7,2010,REG,1.0,0.0,1.0,0.11,43.5,7.0,6.0,14.0,1.0,0.0,0.0,0.0,Milton,Rodriguez,DAL,Rodriguez,Milton,F,84000.0,114000.0
1177,Emilio Rentería,CLB,F,19.0,9.0,857.0,5.0,1.0,30.0,15.0,4.0,3.0,2.0,0.53,16.7,2010,REG,1.0,0.0,1.0,0.11,50.0,18.0,22.0,12.0,2.0,0.0,0.0,0.0,Emilio,Rentería,,,,,,
1178,Andy Najar,DC ,M-F,26.0,22.0,1983.0,5.0,1.0,36.0,13.0,0.0,3.0,2.0,0.23,13.9,2010,REG,0.0,1.0,0.0,0.05,36.1,25.0,25.0,6.0,6.0,0.0,0.0,0.0,Andy,Najar,DC,Najar,Andy,M-F,39000.0,58995.83
1179,Blaise Nkufo,SEA,F,11.0,11.0,931.0,5.0,0.0,15.0,11.0,2.0,1.0,4.0,0.48,33.3,2010,REG,0.0,0.0,0.0,0.0,73.3,9.0,16.0,4.0,2.0,0.0,0.0,0.0,Blaise,Nkufo,SEA,Nkufo,Blaise,F,480000.0,480000.0
1180,Zack Schilawski,NE ,F,25.0,15.0,1261.0,5.0,0.0,17.0,9.0,2.0,5.0,0.0,0.36,29.4,2010,REG,0.0,0.0,0.0,0.0,52.9,13.0,8.0,15.0,0.0,0.0,0.0,0.0,Zack,Schilawski,NE,Schilawski,Zack,F,40000.0,42500.0
1181,Danny Allsopp,DC ,F,23.0,18.0,1456.0,5.0,0.0,37.0,19.0,3.0,4.0,1.0,0.31,13.5,2010,REG,0.0,0.0,0.0,0.0,51.4,10.0,19.0,4.0,2.0,0.0,0.0,0.0,Danny,Allsopp,DC,Allsopp,Danny,F,180000.0,217500.0
1182,Mehdi Ballouchy,COL,M,27.0,25.0,2138.0,4.0,6.0,35.0,15.0,1.0,1.0,3.0,0.17,11.4,2010,REG,0.0,2.0,4.0,0.25,42.9,22.0,36.0,3.0,4.0,0.0,1.0,1.0,Mehdi,Ballouchy,COL,Ballouchy,Mehdi,M,88800.0,88800.0
1183,Shalrie Joseph,NE ,M,22.0,22.0,1931.0,4.0,5.0,37.0,19.0,1.0,2.0,2.0,0.19,10.8,2010,REG,1.0,5.0,0.0,0.23,51.4,30.0,35.0,11.0,4.0,0.0,1.0,1.0,Shalrie,Joseph,NE,Joseph,Shalrie,M,450000.0,475000.0
1184,Jovan Kirovski,LA ,M-F,21.0,11.0,932.0,4.0,2.0,20.0,6.0,2.0,3.0,1.0,0.39,20.0,2010,REG,2.0,1.0,1.0,0.19,30.0,20.0,6.0,4.0,2.0,0.0,0.0,0.0,Jovan,Kirovski,LA,Kirovski,Jovan,F,84000.0,84000.0
1185,Atiba Harris,DAL,D,29.0,28.0,2473.0,4.0,2.0,53.0,21.0,0.0,2.0,2.0,0.15,7.5,2010,REG,1.0,0.0,2.0,0.07,39.6,51.0,30.0,18.0,8.0,0.0,0.0,0.0,Atiba,Harris,DAL,Harris,Atiba,M-F,68970.0,71970.0
1186,Fred,PHI,M,25.0,24.0,1913.0,4.0,1.0,17.0,8.0,1.0,4.0,0.0,0.19,23.5,2010,REG,0.0,0.0,1.0,0.05,47.1,37.0,37.0,4.0,6.0,0.0,0.0,0.0,Fred,,,,,,,
1187,Jeff Larentowicz,ATL,M,30.0,29.0,2617.0,4.0,1.0,41.0,13.0,1.0,1.0,3.0,0.14,9.8,2010,REG,0.0,1.0,0.0,0.03,31.7,31.0,18.0,1.0,4.0,0.0,0.0,0.0,Jeff,Larentowicz,COL,Larentowicz,Jeff,D,150000.0,150000.0
1188,Ryan Smith,CHV,M,26.0,25.0,2104.0,3.0,7.0,46.0,22.0,0.0,3.0,0.0,0.13,6.5,2010,REG,3.0,6.0,1.0,0.3,47.8,15.0,46.0,2.0,4.0,0.0,0.0,0.0,Ryan,Smith,KC,Smith,Ryan,M-F,125000.0,129375.0
1189,Joel Lindpere,NY ,M,29.0,29.0,2567.0,3.0,6.0,32.0,13.0,2.0,3.0,0.0,0.11,9.4,2010,REG,1.0,3.0,3.0,0.21,40.6,45.0,44.0,7.0,3.0,0.0,0.0,0.0,Joel,Lindpere,NY,Lindpere,Joel,M,80000.0,115000.0
1190,Brian Mullan,COL,D,29.0,22.0,1951.0,3.0,5.0,29.0,13.0,0.0,2.0,1.0,0.14,10.3,2010,REG,1.0,3.0,2.0,0.23,44.8,29.0,29.0,13.0,3.0,0.0,0.0,0.0,Brian,Mullan,HOU,Mullan,Brian,M,180500.0,189812.5
1191,Eddie Gaven,CLB,M,28.0,28.0,2384.0,3.0,5.0,42.0,18.0,0.0,1.0,2.0,0.11,7.1,2010,REG,3.0,2.0,3.0,0.19,42.9,23.0,54.0,7.0,0.0,0.0,0.0,0.0,Eddie,Gaven,CLB,Gaven,Eddie,M-F,190575.0,190575.0
1192,Ilija Stolica,NE ,F,14.0,13.0,1049.0,3.0,2.0,18.0,9.0,1.0,2.0,1.0,0.26,16.7,2010,REG,1.0,1.0,1.0,0.17,50.0,10.0,13.0,13.0,0.0,0.0,0.0,0.0,Ilija,Stolica,NE,Stolica,Ilija,F,216000.0,221500.0
1193,Sainey Nyassi,NE ,M,28.0,27.0,2297.0,3.0,2.0,39.0,11.0,0.0,3.0,0.0,0.12,7.7,2010,REG,1.0,2.0,0.0,0.08,28.2,33.0,45.0,2.0,3.0,0.0,0.0,0.0,Sainey,Nyassi,NE,Nyassi,Sainey,M,70000.0,76750.0
1194,Ned Grabavoy,RSL,M,23.0,18.0,1562.0,3.0,1.0,10.0,6.0,1.0,3.0,0.0,0.17,30.0,2010,REG,1.0,1.0,0.0,0.06,60.0,19.0,28.0,1.0,4.0,0.0,0.0,0.0,Ned,Grabavoy,RSL,Grabavoy,Ned,M,105000.0,105000.0
1195,Andy Iro,CLB,D,25.0,24.0,2117.0,3.0,1.0,14.0,3.0,2.0,2.0,1.0,0.13,21.4,2010,REG,0.0,0.0,1.0,0.04,21.4,19.0,13.0,2.0,2.0,0.0,0.0,0.0,Andy,Iro,CLB,Iro,Andy,D,52360.0,71110.0
1196,Blair Gavin,CHV,M,16.0,16.0,1369.0,3.0,1.0,15.0,5.0,1.0,2.0,1.0,0.2,20.0,2010,REG,0.0,1.0,0.0,0.07,33.3,7.0,8.0,0.0,0.0,0.0,0.0,0.0,Blair,Gavin,CHV,Gavin,Blair,M,50000.0,69000.0
1197,Cam Weaver,HOU,F,14.0,9.0,807.0,3.0,1.0,19.0,6.0,1.0,1.0,2.0,0.33,15.8,2010,REG,0.0,0.0,1.0,0.11,31.6,16.0,13.0,10.0,2.0,0.0,0.0,0.0,Cam,Weaver,HOU,Weaver,Cam,F,85000.0,93250.0
1198,Arturo Alvarez,HOU,M,19.0,11.0,1210.0,3.0,1.0,26.0,12.0,1.0,1.0,2.0,0.22,11.5,2010,REG,1.0,1.0,0.0,0.07,46.2,16.0,17.0,0.0,3.0,0.0,0.0,0.0,Arturo,Alvarez,SJ,Alvarez,Arturo,M-F,183338.0,192675.5
1199,Collins John,CHI,F,17.0,10.0,901.0,3.0,1.0,29.0,14.0,0.0,1.0,2.0,0.3,10.3,2010,REG,0.0,1.0,0.0,0.1,48.3,17.0,12.0,16.0,2.0,0.0,0.0,0.0,Collins,John,CHI,John,Collins,F,160000.0,181875.0
1200,Jack McInerney,LA,F,17.0,1.0,350.0,3.0,0.0,9.0,3.0,0.0,0.0,3.0,0.77,33.3,2010,REG,0.0,0.0,0.0,0.0,33.3,10.0,3.0,3.0,1.0,0.0,0.0,0.0,Jack,McInerney,PHI,McInerney,Jack,F,52250.0,116416.67
1201,Ike Opara,SKC,D,11.0,10.0,914.0,3.0,0.0,10.0,5.0,1.0,2.0,1.0,0.3,30.0,2010,REG,0.0,0.0,0.0,0.0,50.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,Ike,Opara,SJ,Opara,Ike,D,80000.0,165900.0
1202,Calen Carr,CHI,F,14.0,4.0,538.0,3.0,0.0,12.0,6.0,1.0,1.0,2.0,0.5,25.0,2010,REG,0.0,0.0,0.0,0.0,50.0,7.0,3.0,5.0,0.0,0.0,0.0,0.0,Calen,Carr,CHI,Carr,Calen,F,71250.0,75500.0
1203,Jámison Olave,RSL,D,27.0,27.0,2413.0,3.0,0.0,15.0,5.0,0.0,3.0,0.0,0.11,20.0,2010,REG,0.0,0.0,0.0,0.0,33.3,30.0,16.0,2.0,8.0,0.0,0.0,0.0,Jámison,Olave,,,,,,
1204,Salou Ibrahim,NY ,F,19.0,8.0,747.0,3.0,0.0,22.0,7.0,2.0,1.0,2.0,0.36,13.6,2010,REG,0.0,0.0,0.0,0.0,31.8,26.0,15.0,12.0,2.0,0.0,0.0,0.0,Salou,Ibrahim,,,,,,
1205,Abdoulie Mansally,NE ,D,21.0,8.0,928.0,3.0,0.0,23.0,9.0,1.0,0.0,3.0,0.29,13.0,2010,REG,0.0,0.0,0.0,0.0,39.1,20.0,29.0,7.0,2.0,0.0,0.0,0.0,Abdoulie,Mansally,,,,,,
1206,Geoff Cameron,HOU,D,16.0,15.0,1321.0,3.0,0.0,27.0,13.0,2.0,2.0,1.0,0.2,11.1,2010,REG,0.0,0.0,0.0,0.0,48.1,15.0,18.0,3.0,3.0,1.0,0.0,0.0,Geoff,Cameron,HOU,Cameron,Geoff,M,40000.0,40000.0
1207,Freddie Ljungberg,CHI,M-F,30.0,27.0,2432.0,2.0,10.0,38.0,11.0,1.0,0.0,2.0,0.07,5.3,2010,REG,1.0,3.0,7.0,0.37,28.9,31.0,73.0,12.0,7.0,0.0,0.0,0.0,Freddie,Ljungberg,,,,,,
1208,Alejandro Moreno,PHI,F,26.0,25.0,1974.0,2.0,7.0,18.0,8.0,1.0,1.0,1.0,0.09,11.1,2010,REG,1.0,3.0,4.0,0.32,44.4,28.0,53.0,20.0,1.0,0.0,0.0,0.0,Alejandro,Moreno,PHI,Moreno,Alejandro,F,145000.0,158125.0
1209,Kheli Dube,NE ,F,20.0,12.0,1023.0,2.0,5.0,30.0,17.0,1.0,1.0,1.0,0.18,6.7,2010,REG,0.0,4.0,1.0,0.44,56.7,17.0,12.0,10.0,0.0,1.0,0.0,0.0,Kheli,Dube,,,,,,
1210,O'Brian White,TOR,F,24.0,9.0,1065.0,2.0,4.0,19.0,8.0,1.0,2.0,0.0,0.17,10.5,2010,REG,0.0,3.0,1.0,0.34,42.1,14.0,9.0,4.0,1.0,0.0,0.0,0.0,O'Brian,White,TFC,White,O'Brian,F,105000.0,182000.0
1211,Eric Alexander,HOU,M,17.0,12.0,1054.0,2.0,3.0,15.0,6.0,1.0,1.0,1.0,0.17,13.3,2010,REG,0.0,1.0,2.0,0.26,40.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,Eric,Alexander,DAL,Alexander,Eric,M,40000.0,40000.0
1212,Pablo Mastroeni,COL,M,29.0,29.0,2493.0,2.0,3.0,16.0,6.0,1.0,0.0,2.0,0.07,12.5,2010,REG,1.0,1.0,2.0,0.11,37.5,30.0,39.0,2.0,5.0,1.0,0.0,0.0,Pablo,Mastroeni,COL,Mastroeni,Pablo,M-D,255000.0,300500.0
1213,Kyle Beckerman,RSL,M,22.0,21.0,1830.0,2.0,3.0,17.0,4.0,1.0,1.0,1.0,0.1,11.8,2010,REG,1.0,2.0,1.0,0.15,23.5,25.0,15.0,0.0,4.0,0.0,0.0,0.0,Kyle,Beckerman,RSL,Beckerman,Kyle,M,250000.0,250000.0
1214,Josh Wolff,KC ,F,25.0,16.0,1549.0,2.0,3.0,21.0,12.0,1.0,1.0,1.0,0.12,9.5,2010,REG,0.0,1.0,2.0,0.17,57.1,10.0,23.0,9.0,1.0,0.0,0.0,0.0,Josh,Wolff,KC,Wolff,Josh,F,220004.0,220004.0
1215,Alan Gordon,CHV,F,21.0,12.0,1199.0,2.0,3.0,25.0,12.0,1.0,1.0,1.0,0.15,8.0,2010,REG,1.0,3.0,0.0,0.23,48.0,37.0,18.0,18.0,2.0,0.0,0.0,0.0,Alan,Gordon,CHV,Gordon,Alan,F,87731.0,87731.0
1216,Sanna Nyassi,SEA,M,24.0,14.0,1241.0,2.0,3.0,29.0,12.0,1.0,1.0,1.0,0.15,6.9,2010,REG,3.0,1.0,2.0,0.22,41.4,25.0,18.0,11.0,2.0,0.0,0.0,0.0,Sanna,Nyassi,SEA,Nyassi,Sanna,M,40000.0,40000.0
1217,Thierry Henry,NY ,F,11.0,11.0,859.0,2.0,3.0,30.0,13.0,0.0,2.0,0.0,0.21,6.7,2010,REG,1.0,1.0,2.0,0.31,43.3,11.0,6.0,8.0,1.0,0.0,0.0,0.0,Thierry,Henry,NY,Henry,Thierry,F,5000000.0,5600000.04
1218,Jason Garey,CLB,F,22.0,9.0,784.0,2.0,2.0,14.0,5.0,2.0,2.0,0.0,0.23,14.3,2010,REG,0.0,0.0,2.0,0.23,35.7,9.0,2.0,9.0,0.0,0.0,0.0,0.0,Jason,Garey,CLB,Garey,Jason,F,75000.0,76250.0
1219,Marvin Chávez,DAL,M,16.0,10.0,818.0,2.0,2.0,14.0,4.0,0.0,1.0,1.0,0.22,14.3,2010,REG,1.0,2.0,0.0,0.22,28.6,16.0,19.0,2.0,4.0,0.0,0.0,0.0,Marvin,Chávez,,,,,,
1220,Tristan Bowen,LA ,F,17.0,10.0,878.0,2.0,2.0,22.0,11.0,0.0,1.0,1.0,0.21,9.1,2010,REG,2.0,1.0,1.0,0.21,50.0,10.0,9.0,4.0,3.0,0.0,0.0,0.0,Tristan,Bowen,LA,Bowen,Tristan,F,70000.0,101363.63
1221,Danny Cruz,HOU,M-F,25.0,14.0,1362.0,2.0,2.0,26.0,9.0,1.0,2.0,0.0,0.13,7.7,2010,REG,0.0,1.0,1.0,0.13,34.6,18.0,34.0,4.0,3.0,1.0,0.0,0.0,Danny,Cruz,HOU,Cruz,Danny,M,75000.0,118000.0
1222,Juninho,LA ,M,25.0,25.0,2006.0,2.0,2.0,30.0,9.0,2.0,2.0,0.0,0.09,6.7,2010,REG,2.0,1.0,1.0,0.09,30.0,37.0,26.0,0.0,5.0,0.0,0.0,0.0,Juninho,,,,,,,
1223,Santino Quaranta,DC ,M-F,27.0,26.0,2331.0,2.0,2.0,58.0,24.0,0.0,1.0,1.0,0.08,3.4,2010,REG,1.0,1.0,1.0,0.08,41.4,9.0,30.0,18.0,5.0,0.0,0.0,0.0,Santino,Quaranta,DC,Quaranta,Santino,M-F,105000.0,107500.0
1224,Álvaro Fernández,SEA,M,12.0,4.0,475.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,0.38,50.0,2010,REG,0.0,0.0,1.0,0.19,75.0,6.0,10.0,2.0,0.0,0.0,0.0,0.0,Álvaro,Fernández,,,,,,
1225,Adrian Serioux,HOU,D,13.0,7.0,708.0,2.0,1.0,8.0,4.0,0.0,0.0,2.0,0.25,25.0,2010,REG,0.0,1.0,0.0,0.13,50.0,13.0,6.0,0.0,1.0,0.0,0.0,0.0,Adrian,Serioux,HOU,Serioux,Adrian,D,96000.0,96000.0
1226,David Beckham,LA ,M,7.0,5.0,466.0,2.0,1.0,9.0,6.0,1.0,1.0,1.0,0.39,22.2,2010,REG,1.0,0.0,1.0,0.19,66.7,4.0,6.0,0.0,2.0,0.0,0.0,0.0,David,Beckham,LA,Beckham,David,M,5500000.0,6500000.04
1227,Adam Cristman,DC ,F,17.0,8.0,708.0,2.0,1.0,15.0,4.0,1.0,1.0,1.0,0.25,13.3,2010,REG,1.0,1.0,0.0,0.13,26.7,17.0,13.0,8.0,2.0,0.0,0.0,0.0,Adam,Cristman,DC,Cristman,Adam,F,40000.0,40000.0
1228,Andre Hainault,HOU,D,28.0,26.0,2376.0,2.0,1.0,15.0,4.0,1.0,0.0,2.0,0.08,13.3,2010,REG,0.0,1.0,0.0,0.04,26.7,21.0,10.0,1.0,4.0,0.0,0.0,0.0,Andre,Hainault,,,,,,
1229,Giancarlo Maldonado,CHV,F,10.0,7.0,612.0,2.0,1.0,16.0,4.0,0.0,1.0,1.0,0.29,12.5,2010,REG,0.0,1.0,0.0,0.15,25.0,3.0,6.0,5.0,1.0,0.0,1.0,1.0,Giancarlo,Maldonado,CHV,Maldonado,Giancarlo,F,204000.0,204000.0
1230,Pat Phelan,NE ,M-D,28.0,25.0,2167.0,2.0,1.0,20.0,8.0,1.0,2.0,0.0,0.08,10.0,2010,REG,0.0,0.0,1.0,0.04,40.0,34.0,20.0,1.0,5.0,0.0,0.0,0.0,Pat,Phelan,NE,Phelan,Pat,M,40000.0,40000.0
1231,Chris Pontius,LA,M-F,17.0,13.0,1189.0,2.0,1.0,25.0,6.0,0.0,0.0,2.0,0.15,8.0,2010,REG,1.0,0.0,1.0,0.08,24.0,12.0,20.0,5.0,1.0,0.0,0.0,0.0,Chris,Pontius,DC,Pontius,Chris,M-F,100000.0,100000.0
1232,Seth Stammler,NY ,M-D,21.0,17.0,1441.0,2.0,1.0,26.0,6.0,1.0,1.0,1.0,0.12,7.7,2010,REG,1.0,1.0,0.0,0.06,23.1,18.0,9.0,1.0,4.0,0.0,0.0,0.0,Seth,Stammler,NY,Stammler,Seth,M,123900.0,123900.0
1233,Adam Moffat,CLB,M,24.0,23.0,1951.0,2.0,1.0,41.0,17.0,0.0,1.0,1.0,0.09,4.9,2010,REG,1.0,1.0,0.0,0.05,41.5,21.0,18.0,5.0,8.0,0.0,0.0,0.0,Adam,Moffat,CLB,Moffat,Adam,M,50400.0,50400.0
1234,Lovel Palmer,HOU,D,26.0,24.0,2049.0,2.0,1.0,41.0,13.0,0.0,2.0,0.0,0.09,4.9,2010,REG,0.0,0.0,1.0,0.04,31.7,25.0,17.0,4.0,4.0,2.0,0.0,0.0,Lovel,Palmer,HOU,Palmer,Lovel,M,60000.0,71250.0
1235,Andrés Mendoza,CLB,F,8.0,1.0,204.0,2.0,0.0,4.0,2.0,0.0,1.0,1.0,0.88,50.0,2010,REG,0.0,0.0,0.0,0.0,50.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,Andrés,Mendoza,,,,,,
1236,Zak Boggs,NE ,M,9.0,4.0,390.0,2.0,0.0,6.0,4.0,0.0,0.0,2.0,0.46,33.3,2010,REG,0.0,0.0,0.0,0.0,66.7,6.0,7.0,0.0,0.0,0.0,0.0,0.0,Zak,Boggs,NE,Boggs,Zak,F-M,40000.0,40000.0
1237,Nat Borchers,RSL,D,30.0,30.0,2673.0,2.0,0.0,10.0,4.0,0.0,1.0,1.0,0.07,20.0,2010,REG,0.0,0.0,0.0,0.0,40.0,22.0,13.0,1.0,4.0,0.0,0.0,0.0,Nat,Borchers,RSL,Borchers,Nat,D,140000.0,147500.0
1238,Peter Lowry,CHI,M,15.0,12.0,1004.0,2.0,0.0,11.0,4.0,1.0,2.0,0.0,0.18,18.2,2010,REG,0.0,0.0,0.0,0.0,36.4,9.0,4.0,1.0,2.0,0.0,0.0,0.0,Peter,Lowry,CHI,Lowry,Peter,F-M,40000.0,40000.0
1239,Omar Gonzalez,USA,D,28.0,28.0,2520.0,2.0,0.0,13.0,4.0,0.0,0.0,2.0,0.07,15.4,2010,REG,0.0,0.0,0.0,0.0,30.8,22.0,13.0,0.0,8.0,0.0,0.0,0.0,Omar,Gonzalez,LA,Gonzalez,Omar,D,80000.0,157000.0
1240,Michael Orozco Fiscal,USA,D,29.0,29.0,2562.0,2.0,0.0,14.0,5.0,1.0,2.0,0.0,0.07,14.3,2010,REG,0.0,0.0,0.0,0.0,35.7,36.0,18.0,10.0,5.0,1.0,0.0,0.0,Michael,Orozco Fiscal,,,,,,
1241,Jaime Moreno,DC ,F,21.0,8.0,905.0,2.0,0.0,14.0,8.0,0.0,1.0,1.0,0.2,14.3,2010,REG,0.0,0.0,0.0,0.0,57.1,7.0,23.0,3.0,1.0,1.0,1.0,1.0,Jaime,Moreno,DC,Moreno,Jaime,F,160000.0,185000.0
1242,Wells Thompson,COL,D,27.0,13.0,1287.0,2.0,0.0,16.0,8.0,0.0,2.0,0.0,0.14,12.5,2010,REG,0.0,0.0,0.0,0.0,50.0,20.0,23.0,4.0,5.0,0.0,0.0,0.0,Wells,Thompson,COL,Thompson,Wells,M,40000.0,48125.0
1243,Jack Jewsbury,KC ,M,29.0,17.0,1675.0,2.0,0.0,32.0,15.0,0.0,2.0,0.0,0.11,6.3,2010,REG,0.0,0.0,0.0,0.0,46.9,14.0,25.0,1.0,4.0,0.0,1.0,1.0,Jack,Jewsbury,KC,Jewsbury,Jack,D,145000.0,154125.0
