,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,Year,Season,GWA,HmA,RdA,A/90min,SOG%,FC,FS,OFF,YC,RC,Club_Dup,Last Name,First Name,POS_Dup,Base Salary,Guaranteed Compensation,Date
369,Landon Donovan,LA ,M-F,25,23,2136,20,9,65,40,0,4/4,15,5,0.84,30.8,2008,REG,3,4,5,0.38,61.5,18,39,15,4,0,LA,Donovan,Landon,F,"$900,000","$900,000.00",2008-10-07
370,Kenny Cooper,DAL,F,30,30,2622,18,3,119,60,4,4/4,10,8,0.62,15.1,2008,REG,0,3,0,0.10,50.4,36,48,39,1,0,DAL,Cooper,Kenny,F,"$80,000","$83,000.00",2008-10-07
371,Edson Buddle,LA ,F,27,26,2218,15,3,74,38,3,0/0,7,8,0.61,20.3,2008,REG,1,2,1,0.12,51.4,28,37,30,2,0,LA,Buddle,Edson,F,"$147,000","$157,000.00",2008-10-07
372,Juan Pablo Angel,NY ,F,23,22,1955,14,3,76,41,4,1/2,10,4,0.64,18.4,2008,REG,0,3,0,0.14,53.9,23,18,27,2,0,NY,Angel,Juan Pablo,F,"$1,500,000","$1,593,750.00",2008-10-07
373,Brian Ching,HOU,F,25,24,2096,13,5,57,29,3,0/1,8,5,0.56,22.8,2008,REG,1,3,2,0.21,50.9,34,49,23,2,0,HOU,Ching,Brian,F,"$231,000","$231,000.00",2008-10-07
374,Luciano Emilio,DC ,F,27,25,2141,11,5,76,39,4,0/0,9,2,0.46,14.5,2008,REG,1,4,1,0.21,51.3,20,38,10,3,0,DC,Emilio,Luciano,F,"$720,000","$758,857.14",2008-10-07
375,Conor Casey,COL,F,21,16,1313,11,2,51,27,3,2/2,5,6,0.75,21.6,2008,REG,0,1,1,0.14,52.9,34,21,12,4,1,COL,Casey,Conor,F,"$190,008","$190,008.00",2008-10-07
376,Jaime Moreno,DC ,F,25,21,1861,10,10,36,19,1,4/5,7,3,0.48,27.8,2008,REG,3,9,1,0.48,52.8,17,46,7,3,1,DC,Moreno,Jaime,F,"$275,000","$275,000.00",2008-10-07
377,Chris Rolfe,CHI,F,26,23,1960,9,8,42,24,3,0/0,6,3,0.41,21.4,2008,REG,3,4,4,0.37,57.1,18,21,8,1,0,CHI,Rolfe,Chris,F,"$81,375","$86,075.00",2008-10-07
378,Chad Barrett,CHI,F,29,27,2172,9,7,66,32,4,0/0,3,6,0.37,13.6,2008,REG,1,4,3,0.29,48.5,21,20,23,2,0,TFC,Barrett,Chad,F,"$53,773","$61,273.13",2008-10-07
379,Alejandro Moreno,CLB,F,27,27,2428,9,4,46,19,2,0/1,5,4,0.33,19.6,2008,REG,1,3,1,0.15,41.3,34,69,25,1,0,CLB,Moreno,Alejandro,F,"$126,000","$131,000.00",2008-10-07
380,Steve Ralston,NE ,M,21,20,1715,8,7,21,13,4,1/1,7,1,0.42,38.1,2008,REG,5,5,2,0.37,61.9,13,16,2,2,0,NE,Ralston,Steve,M,"$150,000","$150,000.00",2008-10-07
381,Taylor Twellman,NE ,F,16,12,1211,8,2,42,22,2,0/0,5,3,0.59,19.0,2008,REG,1,2,0,0.15,52.4,7,26,6,0,0,NE,Twellman,Taylor,F,"$325,008","$350,008.00",2008-10-07
382,Jeff Cunningham,DAL,F,27,18,1698,8,2,43,20,1,0/0,3,5,0.42,18.6,2008,REG,0,0,2,0.11,46.5,10,21,39,4,0,,,,,,,
383,Guillermo Barros Schelotto,CLB,F,27,27,2216,7,19,54,27,1,4/4,5,2,0.28,13.0,2008,REG,5,13,6,0.77,50.0,25,63,15,3,0,CLB,Schelotto,Guillermo Barros,F,"$250,000","$375,000.00",2008-10-07
384,Cuauhtemoc Blanco,CHI,M,27,27,2398,7,11,46,26,1,3/3,2,5,0.26,15.2,2008,REG,2,6,5,0.41,56.5,11,76,11,6,0,CHI,Blanco,Cuauhtemoc,M,"$2,492,316","$2,666,778.00",2008-10-07
385,Dave van den Bergh,NY ,M,26,25,2228,7,5,36,19,2,0/0,3,4,0.28,19.4,2008,REG,2,3,2,0.20,52.8,16,23,1,3,1,,,,,,,
386,Davy Arnaud,KC ,M,24,22,2019,7,3,44,17,3,0/0,4,3,0.31,15.9,2008,REG,1,2,1,0.13,38.6,24,58,6,5,0,KC,Arnaud,Davy,M,"$105,000","$106,875.00",2008-10-07
387,Dwayne De Rosario,HOU,M,24,22,1948,7,2,78,34,1,2/2,4,3,0.32,9.0,2008,REG,1,1,1,0.09,43.6,25,34,35,6,0,,,,,,,
388,Yura Movsisyan,RSL,F,22,13,1229,7,1,69,33,0,0/0,1,6,0.51,10.1,2008,REG,0,0,1,0.07,47.8,11,20,13,0,0,RSL,Movsisyan,Yura,F,"$47,575","$57,575.00",2008-10-07
389,Javier Morales,RSL,M,29,29,2511,6,15,48,23,3,0/1,3,3,0.22,12.5,2008,REG,2,8,7,0.54,47.9,49,59,5,3,0,RSL,Morales,Javier,M,"$240,000","$240,000.00",2008-10-07
390,Claudio Lopez,KC ,F,28,25,2265,6,7,67,23,0,2/2,3,3,0.24,9.0,2008,REG,3,4,3,0.28,34.3,10,14,24,3,0,KC,Lopez,Claudio,F,"$720,000","$820,000.00",2008-10-07
391,Arturo Alvarez,HOU,M,28,21,1795,6,6,40,21,1,0/0,4,2,0.30,15.0,2008,REG,0,3,3,0.30,52.5,17,24,13,2,0,SJ,Alvarez,Arturo,M,"$166,250","$175,587.50",2008-10-07
392,Robbie Findley,RSL,F,29,15,1493,6,5,44,18,2,0/0,5,1,0.36,13.6,2008,REG,1,2,3,0.30,40.9,16,27,13,2,0,,,,,,,
393,Darren Huckerby,SJ ,M,14,14,1211,6,4,31,14,2,0/0,6,0,0.45,19.4,2008,REG,0,4,0,0.30,45.2,14,16,22,1,0,SJ,Huckerby,Darren,F,"$330,000","$355,000.00",2008-10-07
394,Omar Cummings,COL,F,26,17,1629,6,4,56,27,1,0/0,4,2,0.33,10.7,2008,REG,0,0,4,0.22,48.2,19,39,12,1,0,COL,Cummings,Omar,F,"$33,000","$33,000.00",2008-10-07
395,Robbie Rogers,CLB,D,27,26,2334,6,3,70,33,3,0/0,4,2,0.23,8.6,2008,REG,1,1,2,0.12,47.1,30,73,9,2,0,CLB,Rogers,Robbie,M,"$57,500","$57,500.00",2008-10-07
396,Adam Cristman,NE ,F,18,16,1300,6,1,39,24,1,0/0,3,3,0.42,15.4,2008,REG,0,1,0,0.07,61.5,25,20,5,0,0,NE,Cristman,Adam,F,"$33,000","$33,000.00",2008-10-07
397,Jimmy Conrad,KC ,D,30,30,2700,6,0,16,7,1,0/0,5,1,0.20,37.5,2008,REG,0,0,0,0.00,43.8,25,24,0,4,0,KC,Conrad,Jimmy,D,"$213,750","$225,000.00",2008-10-07
398,David Beckham,LA ,M,25,25,2248,5,10,35,12,1,0/0,3,2,0.20,14.3,2008,REG,1,7,3,0.40,34.3,14,37,4,6,0,LA,Beckham,David,M,"$5,500,000","$6,500,000.04",2008-10-07
399,Sacha Kljestan,OCS,M,22,21,1941,5,7,36,16,2,0/0,3,2,0.23,13.9,2008,REG,3,4,3,0.32,44.4,39,23,2,7,1,CHV,Kljestan,Sacha,M,"$95,000","$128,000.00",2008-10-07
400,Alan Gordon,LA ,F,26,14,1314,5,7,46,15,2,0/0,4,1,0.34,10.9,2008,REG,1,4,3,0.48,32.6,38,18,13,4,1,LA,Gordon,Alan,F,"$72,504","$72,504.00",2008-10-07
401,Ante Razov,CHV,F,22,17,1415,5,6,51,18,1,0/0,2,3,0.32,9.8,2008,REG,2,4,2,0.38,35.3,26,18,21,3,0,CHV,Razov,Ante,F,"$255,000","$258,750.00",2008-10-07
402,Santino Quaranta,DC ,M-F,27,23,1963,5,4,45,13,1,0/0,4,1,0.23,11.1,2008,REG,1,3,1,0.18,28.9,19,45,7,7,0,DC,Quaranta,Santino,M,"$35,000","$35,000.00",2008-10-07
403,Danny Dichio,TOR,F,23,17,1445,5,3,20,10,1,0/0,2,3,0.31,25.0,2008,REG,0,1,2,0.19,50.0,35,30,26,4,0,,,,,,,
404,Scott Sealy,KC ,F,27,24,2021,5,3,45,23,1,0/0,2,3,0.22,11.1,2008,REG,1,3,0,0.13,51.1,19,34,35,0,0,SJ,Sealy,Scott,F,"$34,729","$34,728.75",2008-10-07
405,Colin Clark,COL,M,29,26,2325,5,3,46,17,0,0/0,3,2,0.19,10.9,2008,REG,2,2,1,0.12,37.0,29,36,10,6,1,COL,Clark,Colin,M,"$33,000","$33,000.00",2008-10-07
406,Alecko Eskandarian,CHV,F,11,8,656,5,2,23,15,2,0/0,3,2,0.69,21.7,2008,REG,1,0,2,0.27,65.2,8,13,7,1,1,CHV,Eskandarian,Alecko,F,"$123,500","$131,041.25",2008-10-07
407,Dominic Oduro,MTL,M,25,9,992,5,2,28,16,1,0/0,4,1,0.45,17.9,2008,REG,0,1,1,0.18,57.1,9,18,7,0,0,DAL,Oduro,Dominic,F,"$33,000","$33,000.00",2008-10-07
408,Brian McBride,CHI,F,11,10,932,5,2,30,12,0,0/0,4,1,0.48,16.7,2008,REG,1,0,2,0.19,40.0,10,19,6,0,0,CHI,McBride,Brian,F,"$164,000","$189,333.25",2008-10-07
409,Tom McManus,COL,F,22,15,1307,5,2,44,22,2,1/2,3,2,0.34,11.4,2008,REG,0,2,0,0.14,50.0,17,15,16,2,1,COL,McManus,Tom,F,"$134,400","$140,462.50",2008-10-07
410,John Thorrington,CHI,M,23,21,1881,5,1,24,11,3,0/0,3,2,0.24,20.8,2008,REG,1,0,1,0.05,45.8,37,35,2,8,0,CHI,Thorrington,John,M,"$60,000","$61,875.00",2008-10-07
411,Ryan Johnson,SJ ,F,28,13,1535,5,1,29,19,1,0/0,3,2,0.29,17.2,2008,REG,1,1,0,0.06,65.5,31,24,12,2,0,SJ,Johnson,Ryan,M,"$33,000","$33,000.00",2008-10-07
412,Mike Magee,NY ,M,26,18,1665,5,1,35,19,3,1/1,5,0,0.27,14.3,2008,REG,1,1,0,0.05,54.3,25,21,2,2,0,NY,Magee,Mike,F,"$64,637","$65,637.19",2008-10-07
413,Brad Evans,CLB,D-M,26,18,1756,5,1,37,13,3,0/0,3,2,0.26,13.5,2008,REG,0,0,1,0.05,35.1,12,13,2,3,1,CLB,Evans,Brad,M,"$33,000","$33,000.00",2008-10-07
414,Fabian Espindola,RSL,F,12,8,642,5,0,25,17,1,0/0,4,1,0.70,20.0,2008,REG,0,0,0,0.00,68.0,11,10,6,1,0,RSL,Espindola,Fabian,F,"$75,000","$75,000.00",2008-10-07
415,Ronnie O'Brien,SJ ,M,28,28,2286,4,6,62,25,2,0/0,3,1,0.16,6.5,2008,REG,2,4,2,0.24,40.3,38,33,1,4,0,SJ,O'Brien,Ronnie,M,"$240,000","$258,750.00",2008-10-07
416,Nate Jaqua,HOU,F,14,11,901,4,4,10,6,2,0/0,4,0,0.40,40.0,2008,REG,1,4,0,0.40,60.0,18,7,3,2,0,HOU,Jaqua,Nate,F,"$156,000","$174,125.00",2008-10-07
417,Rohan Ricketts,TOR,M,27,26,2139,4,4,29,19,2,0/1,4,0,0.17,13.8,2008,REG,1,3,1,0.17,65.5,34,43,5,0,0,TFC,Ricketts,Rohan,M,"$200,004","$212,504.00",2008-10-07
418,Kheli Dube,NE ,F,21,13,1252,4,4,29,13,2,0/0,2,2,0.29,13.8,2008,REG,1,2,2,0.29,44.8,33,30,8,1,0,,,,,,,
419,Amado Guevara,TOR,M,21,20,1819,4,4,41,19,1,0/1,3,1,0.20,9.8,2008,REG,0,1,3,0.20,46.3,32,35,4,5,1,TFC,Guevara,Amado,M,"$162,000","$185,750.00",2008-10-07
420,Marcelo Gallardo,DC ,M,15,14,1161,4,3,31,17,0,0/0,3,1,0.31,12.9,2008,REG,1,3,0,0.23,54.8,12,43,3,3,1,DC,Gallardo,Marcelo,M,"$1,500,000","$1,874,006.00",2008-10-07
421,Chad Marshall,SEA,D,29,29,2485,4,2,23,7,3,0/0,2,2,0.14,17.4,2008,REG,0,1,1,0.07,30.4,26,11,0,2,0,CLB,Marshall,Chad,D,"$125,000","$148,000.00",2008-10-07
422,Jeff Larentowicz,ATL,M,28,28,2437,4,2,24,12,1,0/0,3,1,0.15,16.7,2008,REG,0,1,1,0.07,50.0,42,39,0,5,1,NE,Larentowicz,Jeff,M,"$33,000","$33,000.00",2008-10-07
423,Justin Braun,CHV,F,24,12,1219,4,2,32,18,1,0/0,2,2,0.30,12.5,2008,REG,0,1,1,0.15,56.3,36,16,13,2,0,CHV,Braun,Justin,F,"$12,900","$12,900.00",2008-10-07
424,Kei Kamara,VAN,F,22,17,1552,4,2,46,21,0,0/0,3,1,0.23,8.7,2008,REG,1,2,0,0.12,45.7,35,47,12,3,1,HOU,Kamara,Kei,F,"$47,850","$57,850.00",2008-10-07
425,Steven Lenhart,CLB,F,10,3,278,4,0,8,5,1,0/0,1,3,1.29,50.0,2008,REG,0,0,0,0.00,62.5,14,6,3,0,1,CLB,Lenhart,Steven,F,"$12,900","$12,900.00",2008-10-07
426,Jesse Marsch,CHV,M,25,24,2138,4,0,15,6,0,0/0,2,2,0.17,26.7,2008,REG,0,0,0,0.00,40.0,38,30,2,5,0,CHV,Marsch,Jesse,M,"$150,000","$159,375.00",2008-10-07
427,Brad Davis,HOU,M,26,20,1800,3,8,42,16,1,0/0,2,1,0.15,7.1,2008,REG,4,5,3,0.40,38.1,21,45,4,2,0,HOU,Davis,Brad,M,"$126,000","$126,000.00",2008-10-07
428,Andre Rocha,DAL,M,27,26,2151,3,8,47,21,1,0/0,1,2,0.13,6.4,2008,REG,4,4,4,0.33,44.7,52,22,1,6,1,DAL,Rocha,Andre,M,"$135,000","$135,000.00",2008-10-07
429,Jack Jewsbury,KC ,M,29,29,2548,3,7,47,18,2,2/2,2,1,0.11,6.4,2008,REG,3,5,2,0.25,38.3,33,37,3,6,0,KC,Jewsbury,Jack,D,"$55,000","$55,000.00",2008-10-07
430,Dane Richards,NY ,M,23,18,1553,3,6,28,11,0,0/0,3,0,0.17,10.7,2008,REG,3,3,3,0.35,39.3,35,28,19,2,0,NY,Richards,Dane,M,"$33,000","$33,000.00",2008-10-07
431,Christian Gomez,COL,M,20,17,1423,3,6,36,18,0,2/2,2,1,0.19,8.3,2008,REG,1,3,3,0.38,50.0,15,30,7,2,0,COL,Gomez,Christian,M,"$385,000","$430,000.00",2008-10-07
432,Brian Mullan,HOU,D,30,28,2343,3,5,18,8,2,0/0,2,1,0.12,16.7,2008,REG,1,2,3,0.19,44.4,34,41,12,2,0,HOU,Mullan,Brian,M,"$156,240","$165,552.50",2008-10-07
433,Atiba Harris,CHV,D,28,23,2014,3,5,42,15,2,0/0,3,0,0.13,7.1,2008,REG,2,5,0,0.22,35.7,73,50,10,8,0,CHV,Harris,Atiba,F,"$57,000","$60,000.00",2008-10-07
434,Stuart Holden,HOU,M,27,18,1652,3,4,35,15,2,0/1,3,0,0.16,8.6,2008,REG,2,4,0,0.22,42.9,26,34,1,3,0,HOU,Holden,Stuart,M,"$33,075","$33,075.00",2008-10-07
435,Josh Wolff,KC ,F,12,11,949,3,3,17,6,1,0/0,1,2,0.28,17.6,2008,REG,0,3,0,0.28,35.3,13,11,15,1,0,KC,Wolff,Josh,F,"$200,004","$200,004.00",2008-10-07
436,Hérculez Gómez,COL,F,25,12,1238,3,3,42,14,1,0/0,1,2,0.22,7.1,2008,REG,2,3,0,0.22,33.3,18,41,6,1,0,,,,,,,
437,Abe Thompson,DAL,F,21,11,972,3,2,21,10,0,0/0,2,1,0.28,14.3,2008,REG,0,2,0,0.19,47.6,14,6,11,1,0,DAL,Thompson,Abe,F,"$33,000","$33,000.00",2008-10-07
438,Eddie Gaven,CLB,M,24,22,1848,3,2,30,12,1,0/0,1,2,0.15,10.0,2008,REG,0,2,0,0.10,40.0,11,43,7,2,0,CLB,Gaven,Eddie,M,"$165,000","$165,000.00",2008-10-07
439,Kenny Deuchar,RSL,F,29,18,1557,3,2,41,18,0,0/0,1,2,0.17,7.3,2008,REG,0,1,1,0.12,43.9,29,30,18,4,0,RSL,Deuchar,Kenny,F,"$135,000","$145,000.00",2008-10-07
440,Kyle Beckerman,RSL,M,30,30,2683,3,2,45,22,2,0/0,3,0,0.10,6.7,2008,REG,1,0,2,0.07,48.9,38,45,4,5,0,RSL,Beckerman,Kyle,M,"$143,000","$145,500.00",2008-10-07
441,Jozy Altidore,TOR,F,8,7,665,3,1,13,8,0,0/0,3,0,0.41,23.1,2008,REG,0,1,0,0.14,61.5,18,15,4,0,0,,,,,,,
442,Abdoulie Mansally,NE ,D,17,11,979,3,1,14,8,0,0/0,0,3,0.28,21.4,2008,REG,1,0,1,0.09,57.1,22,26,9,1,0,NE,Mansally,Abdoulie,F,"$33,000","$33,000.00",2008-10-07
443,Sasha Victorine,CHV,M,21,16,1466,3,1,24,11,1,0/0,2,1,0.18,12.5,2008,REG,0,1,0,0.06,45.8,16,23,2,3,0,CHV,Victorine,Sasha,M,"$151,250","$153,750.00",2008-10-07
444,Jorge Villafaña,USA,D-M,11,6,590,3,0,4,3,2,0/0,2,1,0.46,75.0,2008,REG,0,0,0,0.00,75.0,14,11,3,0,0,,,,,,,
445,Jason Garey,CLB,F,10,0,128,3,0,11,7,0,0/0,2,1,2.11,27.3,2008,REG,0,0,0,0.00,63.6,1,1,3,1,0,CLB,Garey,Jason,F,"$48,125","$60,625.00",2008-10-07
446,Justin Mapp,CHI,M,30,26,2229,2,8,42,21,1,0/0,0,2,0.08,4.8,2008,REG,3,7,1,0.32,50.0,13,40,7,1,0,CHI,Mapp,Justin,M,"$165,000","$200,000.00",2008-10-07
447,Fred,DC ,M,23,20,1690,2,4,29,12,1,0/0,0,2,0.11,6.9,2008,REG,0,3,1,0.21,41.4,50,26,9,4,0,,,,,,,
448,Paulo Nagamura,CHV,M,24,24,2062,2,3,17,7,0,0/0,1,1,0.09,11.8,2008,REG,1,2,1,0.13,41.2,47,31,0,8,1,CHV,Nagamura,Paulo,M,"$93,713","$93,712.50",2008-10-07
449,Khano Smith,NE ,M,23,18,1515,2,3,26,10,1,0/0,1,1,0.12,7.7,2008,REG,1,2,1,0.18,38.5,27,23,5,3,1,NE,Smith,Khano,M,"$46,305","$46,305.00",2008-10-07
450,Michael Harrington,KC ,D,30,30,2597,2,2,5,4,0,0/0,1,1,0.07,40.0,2008,REG,1,1,1,0.07,80.0,32,22,1,4,0,KC,Harrington,Michael,D,"$49,600","$67,100.00",2008-10-07
451,Marvell Wynne,TOR,D,24,24,2115,2,2,9,5,0,0/0,1,1,0.09,22.2,2008,REG,1,0,2,0.09,55.6,17,14,3,1,0,TFC,Wynne,Marvell,D,"$47,500","$150,000.00",2008-10-07
452,Jonathan Bornstein,CHV,D,21,19,1679,2,2,10,6,1,0/0,1,1,0.11,20.0,2008,REG,0,0,2,0.11,60.0,22,15,3,3,0,CHV,Bornstein,Jonathan,D,"$77,500","$77,500.00",2008-10-07
453,Carey Talley,CHV,D,20,18,1605,2,2,12,6,0,1/1,0,2,0.11,16.7,2008,REG,1,0,2,0.11,50.0,29,15,1,4,0,CHV,Talley,Carey,D,"$105,000","$105,000.00",2008-10-07
454,Tomasz Frankowski,CHI,F,17,7,628,2,2,14,11,0,0/0,2,0,0.29,14.3,2008,REG,1,2,0,0.29,78.6,3,8,8,0,0,CHI,Frankowski,Tomasz,F,"$198,000","$214,250.00",2008-10-07
455,Gonzalo Segares,CHI,D,23,23,2013,2,2,16,7,0,0/0,0,2,0.09,12.5,2008,REG,0,1,1,0.09,43.8,40,23,1,8,0,CHI,Segares,Gonzalo,D,"$58,590","$61,090.00",2008-10-07
456,Kevin Goldthwaite,NY ,D,28,28,2438,2,2,17,6,1,0/0,2,0,0.07,11.8,2008,REG,0,1,1,0.07,35.3,42,27,0,7,1,NY,Goldthwaite,Kevin,D,"$68,750","$77,750.00",2008-10-07
457,Juan Toja,DAL,M,16,15,1283,2,2,21,13,0,0/0,2,0,0.14,9.5,2008,REG,0,0,2,0.14,61.9,32,23,4,3,0,,,,,,,
458,Clyde Simms,DC ,M,30,30,2697,2,2,24,11,1,0/0,2,0,0.07,8.3,2008,REG,0,1,1,0.07,45.8,30,17,1,5,0,DC,Simms,Clyde,M,"$57,750","$59,000.00",2008-10-07
459,Ramiro Corrales,SJ ,M,22,22,1895,2,2,29,7,0,0/0,1,1,0.09,6.9,2008,REG,1,2,0,0.09,24.1,29,27,1,5,0,SJ,Corrales,Ramiro,M,"$190,000","$202,500.00",2008-10-07
460,Ryan Cochrane,SJ ,D,19,17,1535,2,1,3,2,2,0/0,2,0,0.12,66.7,2008,REG,0,1,0,0.06,66.7,27,7,2,5,0,SJ,Cochrane,Ryan,D,"$132,000","$133,250.00",2008-10-07
461,Stephen King,CHI,M,20,8,854,2,1,13,7,1,0/0,1,1,0.21,15.4,2008,REG,0,1,0,0.11,53.8,3,8,0,0,0,CHI,King,Stephen,M,"$17,700","$17,700.00",2008-10-07
462,Franco Caraccio,HOU,F,10,8,602,2,1,13,6,0,0/0,1,1,0.30,15.4,2008,REG,0,0,1,0.15,46.2,10,6,6,1,0,,,,,,,
463,Emmanuel Ekpo,CLB,M,17,7,742,2,1,14,7,1,0/0,2,0,0.24,14.3,2008,REG,0,0,1,0.12,50.0,10,6,2,1,0,CLB,Ekpo,Emmanuel,M,"$101,500","$123,750.00",2008-10-07
464,Drew Moor,TOR,D,27,27,2430,2,1,18,5,0,0/0,1,1,0.07,11.1,2008,REG,0,1,0,0.04,27.8,17,29,0,5,0,DAL,Moor,Drew,D,"$132,000","$149,188.89",2008-10-07
465,Ricardo Clark,HOU,M,25,25,2205,2,1,25,9,0,0/0,1,1,0.08,8.0,2008,REG,0,0,1,0.04,36.0,32,34,0,6,0,HOU,Clark,Ricardo,M,"$225,500","$225,500.00",2008-10-07
466,Sainey Nyassi,NE ,M,25,18,1661,2,1,28,13,1,0/0,1,1,0.11,7.1,2008,REG,0,1,0,0.05,46.4,31,39,3,7,0,NE,Nyassi,Sainey,M,"$33,000","$33,000.00",2008-10-07
467,Mike Petke,COL,D,11,10,831,2,0,4,2,1,0/0,0,2,0.22,50.0,2008,REG,0,0,0,0.00,50.0,7,5,0,2,0,COL,Petke,Mike,D,"$133,000","$133,000.00",2008-10-07
468,Marco Velez,TOR,D,23,23,1973,2,0,6,4,0,0/0,1,1,0.09,33.3,2008,REG,0,0,0,0.00,66.7,23,5,0,3,2,TFC,Velez,Marco,D,"$60,000","$60,500.00",2008-10-07
469,Francis Doe,DC ,F,12,4,435,2,0,9,7,1,0/0,2,0,0.41,22.2,2008,REG,0,0,0,0.00,77.8,7,3,14,0,0,DC,Doe,Francis,F,"$33,000","$40,500.00",2008-10-07
470,Calen Carr,CHI,F,9,2,274,2,0,9,4,0,0/0,1,1,0.66,22.2,2008,REG,0,0,0,0.00,44.4,4,2,0,0,0,CHI,Carr,Calen,F,"$50,600","$63,100.00",2008-10-07
471,John Cunliffe,SJ ,F,12,4,389,2,0,10,3,0,0/0,0,2,0.46,20.0,2008,REG,0,0,0,0.00,30.0,10,8,2,1,0,SJ,Cunliffe,John,F,"$35,500","$50,500.00",2008-10-07
472,Jámison Olave,RSL,D,23,23,2006,2,0,10,4,0,0/0,2,0,0.09,20.0,2008,REG,0,0,0,0.00,40.0,33,17,0,9,0,,,,,,,
473,Shea Salinas,SJ,M,23,2,544,2,0,12,6,0,1/1,1,1,0.33,16.7,2008,REG,0,0,0,0.00,50.0,8,10,2,1,0,SJ,Salinas,Shea,M,"$33,000","$33,000.00",2008-10-07
474,Abdus Ibrahim,DAL,F,12,4,486,2,0,13,6,0,0/0,0,2,0.37,15.4,2008,REG,0,0,0,0.00,46.2,7,10,12,3,0,TFC,Ibrahim,Abdus,F,"$70,000","$103,000.00",2008-10-07
475,Adam Moffat,CLB,M,7,6,513,2,0,15,4,1,0/0,2,0,0.35,13.3,2008,REG,0,0,0,0.00,26.7,10,1,1,3,0,CLB,Moffat,Adam,M,"$17,700","$17,700.00",2008-10-07
476,Danleigh Borman,NY ,D,15,7,721,2,0,16,5,0,0/0,1,1,0.25,12.5,2008,REG,0,0,0,0.00,31.3,4,4,5,1,0,NY,Borman,Danleigh,M,"$17,700","$17,700.00",2008-10-07
477,Will Johnson,OCS,F-M,9,9,810,2,0,17,10,1,0/0,1,1,0.22,11.8,2008,REG,0,0,0,0.00,58.8,10,13,0,2,0,RSL,Johnson,Will,F,"$39,000","$52,571.43",2008-10-07
478,Nick LaBrocca,COL,M,30,28,2396,2,0,24,11,1,0/0,0,2,0.08,8.3,2008,REG,0,0,0,0.00,45.8,33,23,2,3,0,COL,LaBrocca,Nick,M,"$12,900","$12,900.00",2008-10-07
479,Terry Cooke,COL,M,24,18,1698,1,12,22,8,1,0/1,1,0,0.05,4.5,2008,REG,1,7,5,0.64,36.4,5,9,2,2,0,COL,Cooke,Terry,M,"$167,500","$172,500.00",2008-10-07
480,Chris Klein,LA ,M,30,30,2685,1,7,19,6,0,0/0,0,1,0.03,5.3,2008,REG,0,5,2,0.23,31.6,24,15,0,1,0,LA,Klein,Chris,D,"$150,000","$150,000.00",2008-10-07
481,Devon McTavish,DC ,D,26,25,2223,1,4,11,5,0,0/0,0,1,0.04,9.1,2008,REG,0,4,0,0.16,45.5,29,17,2,6,0,DC,McTavish,Devon,D,"$33,000","$33,000.00",2008-10-07
482,Ivan Guerrero,DC ,M,27,26,2163,1,4,16,6,1,0/0,1,0,0.04,6.3,2008,REG,2,3,1,0.17,37.5,15,27,5,2,0,DC,Guerrero,Ivan,M,"$140,000","$147,000.00",2008-10-07
483,Mehdi Ballouchy,COL,M,19,12,1200,1,4,20,5,0,0/0,1,0,0.08,5.0,2008,REG,1,2,2,0.30,25.0,12,20,4,1,0,COL,Ballouchy,Mehdi,M,"$75,000","$93,000.00",2008-10-07
484,Frankie Hejduk,CLB,D,24,24,2135,1,4,22,11,0,0/0,1,0,0.04,4.5,2008,REG,2,3,1,0.17,50.0,28,37,1,9,1,CLB,Hejduk,Frankie,D,"$150,000","$175,000.00",2008-10-07
485,Seth Stammler,NY ,M-D,26,26,2195,1,4,25,9,0,0/0,0,1,0.04,4.0,2008,REG,2,4,0,0.16,36.0,37,15,1,5,0,NY,Stammler,Seth,M,"$105,000","$105,000.00",2008-10-07
486,Peter Vagenas,LA ,M,14,11,933,1,3,7,1,0,0/0,1,0,0.10,14.3,2008,REG,1,2,1,0.29,14.3,14,19,0,3,0,LA,Vagenas,Peter,M,"$144,000","$144,000.00",2008-10-07
487,Roger Espinoza,SKC,M,22,12,1169,1,3,16,6,0,0/0,0,1,0.08,6.3,2008,REG,1,2,1,0.23,37.5,15,21,6,3,2,KC,Espinoza,Roger,M,"$45,000","$78,750.00",2008-10-07
488,Jim Brennan,TOR,D,28,27,2462,1,3,18,7,0,0/0,0,1,0.04,5.6,2008,REG,0,1,2,0.11,38.9,18,8,5,5,0,TFC,Brennan,Jim,D,"$175,000","$183,250.00",2008-10-07
489,Laurent Robert,TOR,M,17,16,1364,1,3,31,14,1,0/0,1,0,0.07,3.2,2008,REG,1,1,2,0.20,45.2,8,20,1,4,1,,,,,,,
490,Andy Williams,RSL,M,26,16,1602,1,3,41,10,0,0/0,0,1,0.06,2.4,2008,REG,2,3,0,0.17,24.4,28,23,3,0,1,RSL,Williams,Andy,M,"$80,000","$80,000.00",2008-10-07
491,Macoumba Kandji,NY ,F,5,2,270,1,2,5,3,0,0/0,0,1,0.33,20.0,2008,REG,0,2,0,0.67,60.0,2,4,2,1,0,NY,Kandji,Macoumba,F,"$36,000","$56,988.37",2008-10-07
