,Player,Club,POS,GP,GS,MINS,G,A,SHTS_FP,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG_FP,PKA_FP,Last Name,First Name,Base Salary,Guaranteed Compensation,Date,SHTS_GK,SV,GA,GAA,W,L,T,ShO,Wpct,SvPct,PKG_GK,PKA_GK
1224,Andrew Jacobson,PHI,M,25.0,13.0,1294.0,0.0,0.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,2010,REG,0.0,0.0,0.0,0.0,44.4,29.0,14.0,0.0,3.0,0.0,0.0,0.0,Jacobson,Andrew,40000.0,40000.0,2010-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1225,Branko Boskovic,DC,M,13.0,8.0,771.0,0.0,0.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,2010,REG,0.0,0.0,0.0,0.0,35.0,7.0,8.0,2.0,1.0,0.0,0.0,0.0,Boskovic,Branko,380000.0,516200.0,2010-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1226,Chris Wondolowski,SJ,F,30.0,30.0,2672.0,16.0,3.0,109.0,52.0,5.0,7.0,9.0,0.54,14.7,2011,REG,0.0,3.0,0.0,0.1,47.7,29.0,24.0,27.0,3.0,0.0,1.0,2.0,Wondolowski,Chris,175000.0,175000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1227,Thierry Henry,NY,F,26.0,26.0,2266.0,14.0,4.0,65.0,30.0,3.0,8.0,6.0,0.56,21.5,2011,REG,1.0,2.0,2.0,0.16,46.2,28.0,27.0,14.0,3.0,2.0,0.0,1.0,Henry,Thierry,5000000.0,5600000.04,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1228,Fredy Montero,SEA,F,30.0,27.0,2304.0,12.0,9.0,108.0,42.0,5.0,3.0,9.0,0.47,11.1,2011,REG,2.0,5.0,4.0,0.35,38.9,55.0,54.0,17.0,7.0,0.0,0.0,1.0,Montero,Fredy,500000.0,656000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1229,Landon Donovan,LA,M-F,23.0,21.0,1915.0,12.0,3.0,42.0,23.0,4.0,8.0,4.0,0.56,28.6,2011,REG,1.0,2.0,1.0,0.14,54.8,36.0,36.0,3.0,4.0,0.0,4.0,4.0,Donovan,Landon,2300000.0,2300000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1230,Camilo Sanvezzo,VAN,F,32.0,29.0,2484.0,12.0,3.0,83.0,37.0,2.0,7.0,5.0,0.43,14.5,2011,REG,0.0,2.0,1.0,0.11,44.6,47.0,55.0,22.0,5.0,0.0,2.0,2.0,Sanvezzo,Camilo,127920.0,133545.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1231,Dominic Oduro,CHI,M,34.0,29.0,2633.0,12.0,2.0,78.0,39.0,3.0,6.0,6.0,0.41,15.4,2011,REG,0.0,0.0,2.0,0.07,50.0,25.0,52.0,20.0,5.0,0.0,0.0,0.0,Oduro,Dominic,95004.0,97004.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1232,Brek Shea,DAL,D,31.0,30.0,2647.0,11.0,4.0,74.0,23.0,5.0,6.0,5.0,0.37,14.9,2011,REG,2.0,1.0,3.0,0.14,31.1,25.0,43.0,12.0,6.0,1.0,0.0,0.0,Shea,Brek,100000.0,128000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1233,Alvaro Saborio,RSL,F,23.0,22.0,1928.0,11.0,2.0,66.0,24.0,4.0,7.0,4.0,0.51,16.7,2011,REG,0.0,2.0,0.0,0.09,36.4,43.0,38.0,38.0,3.0,0.0,3.0,3.0,Saborio,Alvaro,250000.0,305625.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1234,Charlie Davies,DC,F,26.0,18.0,1553.0,11.0,1.0,34.0,18.0,3.0,5.0,6.0,0.64,32.4,2011,REG,0.0,1.0,0.0,0.06,52.9,23.0,22.0,14.0,3.0,0.0,4.0,5.0,Davies,Charlie,184620.0,244870.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1235,Fabian Espindola,RSL,F,27.0,25.0,2096.0,10.0,3.0,62.0,30.0,2.0,5.0,5.0,0.43,16.1,2011,REG,0.0,2.0,1.0,0.13,48.4,39.0,31.0,33.0,6.0,0.0,1.0,1.0,Espindola,Fabian,75000.0,75000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1236,Eric Hassli,VAN,F,26.0,21.0,1865.0,10.0,2.0,72.0,28.0,0.0,6.0,4.0,0.48,13.9,2011,REG,0.0,2.0,0.0,0.1,38.9,53.0,35.0,20.0,8.0,3.0,3.0,4.0,Hassli,Eric,660000.0,900000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1237,Juan Pablo Angel,CHV,F,31.0,26.0,2314.0,10.0,1.0,78.0,32.0,1.0,5.0,5.0,0.39,12.8,2011,REG,0.0,1.0,0.0,0.04,41.0,29.0,13.0,36.0,2.0,0.0,0.0,0.0,Pablo Angel,Juan,1000000.0,1250000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1238,Kei Kamara,KC,F,30.0,24.0,2201.0,9.0,4.0,91.0,29.0,1.0,6.0,3.0,0.37,9.9,2011,REG,1.0,2.0,2.0,0.16,31.9,37.0,44.0,7.0,2.0,0.0,2.0,2.0,Kamara,Kei,200000.0,202500.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1239,Luke Rodgers,NY,F,23.0,20.0,1560.0,9.0,3.0,45.0,20.0,4.0,7.0,2.0,0.52,20.0,2011,REG,0.0,2.0,1.0,0.17,44.4,27.0,26.0,48.0,6.0,0.0,1.0,1.0,Rodgers,Luke,180000.0,180000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1240,Teal Bunbury,KC,F,29.0,20.0,1744.0,9.0,3.0,66.0,22.0,2.0,5.0,4.0,0.46,13.6,2011,REG,0.0,1.0,2.0,0.15,33.3,36.0,17.0,21.0,2.0,1.0,0.0,0.0,Bunbury,Teal,85000.0,183000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1241,Omar Bravo,KC,F,27.0,26.0,2150.0,9.0,2.0,59.0,25.0,2.0,7.0,2.0,0.38,15.3,2011,REG,1.0,1.0,1.0,0.08,42.4,22.0,24.0,27.0,4.0,2.0,2.0,2.0,Bravo,Omar,120000.0,170000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1242,Nick LaBrocca,CHV,M,34.0,34.0,3058.0,8.0,6.0,77.0,25.0,1.0,4.0,4.0,0.24,10.4,2011,REG,0.0,1.0,5.0,0.18,32.5,29.0,38.0,8.0,4.0,0.0,0.0,0.0,LaBrocca,Nick,84700.0,87200.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1243,Justin Braun,CHV,F,29.0,22.0,2055.0,8.0,5.0,69.0,29.0,2.0,4.0,4.0,0.35,11.6,2011,REG,3.0,2.0,3.0,0.22,42.0,42.0,32.0,16.0,4.0,0.0,0.0,0.0,Braun,Justin,85000.0,87500.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1244,Kenny Cooper,POR,F,34.0,29.0,2562.0,8.0,2.0,78.0,30.0,2.0,4.0,4.0,0.28,10.3,2011,REG,0.0,1.0,1.0,0.07,38.5,27.0,56.0,40.0,2.0,0.0,0.0,0.0,Cooper,Kenny,250000.0,267500.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245,Marco Pappa,CHI,M,29.0,27.0,2324.0,8.0,2.0,92.0,39.0,2.0,2.0,6.0,0.31,8.7,2011,REG,0.0,1.0,1.0,0.08,42.4,42.0,35.0,12.0,2.0,0.0,0.0,0.0,Pappa,Marco,120000.0,125000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1246,Maicon Santos,DAL,F,30.0,24.0,1974.0,8.0,2.0,92.0,25.0,1.0,4.0,4.0,0.36,8.7,2011,REG,0.0,0.0,2.0,0.09,27.2,30.0,29.0,16.0,0.0,0.0,0.0,0.0,Santos,Maicon,126000.0,126000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1247,Danny Koevermans,TOR,F,10.0,9.0,756.0,8.0,1.0,30.0,17.0,1.0,4.0,4.0,0.95,26.7,2011,REG,0.0,1.0,0.0,0.12,56.7,7.0,4.0,8.0,0.0,0.0,0.0,0.0,Koevermans,Danny,999996.0,1413319.33,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1248,Shalrie Joseph,NE,M,32.0,32.0,2860.0,8.0,1.0,52.0,23.0,3.0,5.0,3.0,0.25,15.4,2011,REG,0.0,1.0,0.0,0.03,44.2,37.0,54.0,6.0,7.0,1.0,4.0,5.0,Joseph,Shalrie,475000.0,500000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1249,Jack Jewsbury,POR,M,31.0,31.0,2790.0,7.0,8.0,47.0,20.0,1.0,4.0,3.0,0.23,14.9,2011,REG,3.0,6.0,2.0,0.26,42.6,36.0,26.0,3.0,5.0,0.0,3.0,5.0,Jewsbury,Jack,155000.0,158166.67,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250,Dane Richards,NY,M,27.0,27.0,2333.0,7.0,7.0,51.0,21.0,2.0,3.0,4.0,0.27,13.7,2011,REG,2.0,5.0,2.0,0.27,41.2,46.0,28.0,13.0,5.0,1.0,0.0,0.0,Richards,Dane,145000.0,156500.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1251,Joel Lindpere,NY,M,34.0,34.0,3048.0,7.0,7.0,54.0,22.0,0.0,3.0,4.0,0.21,13.0,2011,REG,1.0,4.0,3.0,0.21,40.7,45.0,53.0,13.0,4.0,0.0,0.0,0.0,Lindpere,Joel,90000.0,125000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1252,Chad Barrett,LA,F,27.0,20.0,1583.0,7.0,5.0,49.0,19.0,4.0,3.0,4.0,0.4,14.3,2011,REG,2.0,4.0,1.0,0.28,38.8,13.0,15.0,10.0,0.0,0.0,0.0,0.0,Barrett,Chad,192000.0,225333.33,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1253,Chris Pontius,DC,M-F,25.0,25.0,2114.0,7.0,5.0,53.0,20.0,2.0,4.0,3.0,0.3,13.2,2011,REG,1.0,0.0,5.0,0.21,37.7,18.0,32.0,3.0,2.0,0.0,2.0,2.0,Pontius,Chris,125000.0,136250.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1254,Jeff Larentowicz,COL,M,34.0,34.0,3051.0,7.0,1.0,37.0,17.0,1.0,2.0,5.0,0.21,18.9,2011,REG,0.0,1.0,0.0,0.03,45.9,45.0,37.0,0.0,5.0,0.0,0.0,1.0,Larentowicz,Jeff,165000.0,165000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1255,Jorge Perlaza,POR,F,31.0,26.0,2152.0,6.0,2.0,34.0,12.0,2.0,6.0,0.0,0.25,17.6,2011,REG,0.0,1.0,1.0,0.08,35.3,21.0,25.0,36.0,2.0,0.0,0.0,0.0,Perlaza,Jorge,100000.0,115000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1256,Caleb Folan,COL,F,26.0,16.0,1521.0,6.0,2.0,40.0,16.0,0.0,4.0,2.0,0.36,15.0,2011,REG,2.0,0.0,2.0,0.12,40.0,27.0,25.0,17.0,5.0,1.0,2.0,2.0,Folan,Caleb,200000.0,203375.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1257,Juan Agudelo,NY,F,27.0,12.0,1364.0,6.0,2.0,44.0,17.0,1.0,5.0,1.0,0.4,13.6,2011,REG,1.0,0.0,2.0,0.13,38.6,25.0,22.0,6.0,1.0,0.0,0.0,0.0,Agudelo,Juan,55000.0,85000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1258,Simon Dawkins,SJ,M,26.0,19.0,1773.0,6.0,2.0,64.0,20.0,1.0,5.0,1.0,0.3,9.4,2011,REG,1.0,1.0,1.0,0.1,31.3,15.0,29.0,4.0,2.0,0.0,0.0,0.0,Dawkins,Simon,60000.0,60000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1259,Conor Casey,COL,F,14.0,11.0,809.0,6.0,1.0,18.0,10.0,0.0,4.0,2.0,0.67,33.3,2011,REG,1.0,1.0,0.0,0.11,55.6,25.0,14.0,12.0,4.0,1.0,1.0,1.0,Casey,Conor,400000.0,400000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1260,Diego Chaves,CHI,F,29.0,19.0,1699.0,6.0,1.0,49.0,14.0,2.0,3.0,3.0,0.32,12.2,2011,REG,1.0,1.0,0.0,0.05,28.6,17.0,43.0,2.0,5.0,0.0,1.0,1.0,Chaves,Diego,45000.0,45000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1261,Mauro Rosales,SEA,M,26.0,22.0,1870.0,5.0,13.0,18.0,9.0,3.0,3.0,2.0,0.24,27.8,2011,REG,4.0,9.0,4.0,0.63,50.0,18.0,59.0,9.0,2.0,0.0,1.0,2.0,Rosales,Mauro,42000.0,42000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1262,Josh Wolff,DC,F,30.0,23.0,1924.0,5.0,7.0,41.0,17.0,1.0,3.0,2.0,0.23,12.2,2011,REG,2.0,5.0,2.0,0.33,41.5,17.0,36.0,19.0,1.0,0.0,0.0,0.0,Wolff,Josh,160000.0,160000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1263,Graham Zusi,KC,D,32.0,25.0,2329.0,5.0,7.0,47.0,16.0,1.0,3.0,2.0,0.19,10.6,2011,REG,4.0,6.0,1.0,0.27,34.0,26.0,38.0,2.0,4.0,0.0,0.0,0.0,Zusi,Graham,42000.0,42000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1264,Andy Najar,DC,M-F,31.0,28.0,2522.0,5.0,6.0,57.0,20.0,0.0,4.0,1.0,0.18,8.8,2011,REG,3.0,5.0,1.0,0.21,35.1,44.0,37.0,4.0,2.0,1.0,0.0,0.0,Najar,Andy,125000.0,155800.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1265,Brad Evans,SEA,D-M,20.0,17.0,1509.0,5.0,5.0,32.0,9.0,0.0,2.0,3.0,0.3,15.6,2011,REG,4.0,3.0,2.0,0.3,28.1,13.0,9.0,1.0,2.0,0.0,3.0,3.0,Evans,Brad,121000.0,134750.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1266,Sanna Nyassi,COL,M,26.0,17.0,1586.0,5.0,5.0,61.0,23.0,1.0,3.0,2.0,0.28,8.2,2011,REG,1.0,4.0,1.0,0.28,37.7,24.0,33.0,11.0,4.0,0.0,0.0,0.0,Nyassi,Sanna,42000.0,42000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1267,Geoff Cameron,HOU,D,33.0,33.0,2970.0,5.0,5.0,63.0,18.0,1.0,2.0,3.0,0.15,7.9,2011,REG,2.0,3.0,2.0,0.15,28.6,29.0,36.0,11.0,2.0,0.0,0.0,0.0,Cameron,Geoff,220000.0,245000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1268,Danny Mwanga,PHI,F,28.0,13.0,1535.0,5.0,4.0,37.0,20.0,1.0,2.0,3.0,0.29,13.5,2011,REG,2.0,2.0,2.0,0.23,54.1,28.0,23.0,9.0,4.0,0.0,0.0,0.0,Mwanga,Danny,120000.0,226250.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1269,Khari Stephenson,SJ,M,31.0,27.0,2256.0,5.0,4.0,78.0,26.0,0.0,3.0,2.0,0.2,6.4,2011,REG,0.0,3.0,1.0,0.16,33.3,41.0,18.0,5.0,3.0,0.0,0.0,0.0,Stephenson,Khari,165000.0,178333.33,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1270,Steven Lenhart,SJ,F,14.0,13.0,1163.0,5.0,3.0,34.0,14.0,1.0,2.0,3.0,0.39,14.7,2011,REG,1.0,2.0,1.0,0.23,41.2,30.0,36.0,12.0,6.0,0.0,0.0,0.0,Lenhart,Steven,45000.0,47333.34,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1271,Alejandro Moreno,CHV,F,24.0,22.0,2016.0,5.0,2.0,30.0,12.0,1.0,1.0,4.0,0.22,16.7,2011,REG,1.0,2.0,0.0,0.09,40.0,42.0,48.0,11.0,0.0,0.0,0.0,0.0,Moreno,Alejandro,172000.0,182000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1272,Lamar Neagle,SEA,M-F,23.0,9.0,1008.0,5.0,2.0,32.0,12.0,2.0,3.0,2.0,0.45,15.6,2011,REG,1.0,1.0,1.0,0.18,37.5,10.0,14.0,2.0,1.0,0.0,0.0,0.0,Neagle,Lamar,32604.0,32604.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1273,Alan Gordon,SJ,F,10.0,8.0,739.0,5.0,1.0,20.0,10.0,0.0,2.0,3.0,0.61,25.0,2011,REG,0.0,1.0,0.0,0.12,50.0,30.0,14.0,10.0,4.0,0.0,0.0,0.0,Gordon,Alan,96504.0,96504.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1274,Bobby Boswell,HOU,D,28.0,27.0,2460.0,5.0,1.0,22.0,10.0,2.0,3.0,2.0,0.18,22.7,2011,REG,0.0,1.0,0.0,0.04,45.5,20.0,18.0,1.0,6.0,0.0,0.0,0.0,Boswell,Bobby,210000.0,210000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1275,Brian Ching,HOU,F,20.0,15.0,1242.0,5.0,1.0,31.0,14.0,2.0,4.0,1.0,0.36,16.1,2011,REG,1.0,1.0,0.0,0.07,45.2,12.0,25.0,21.0,0.0,1.0,0.0,0.0,Ching,Brian,375000.0,412500.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1276,Will Bruin,HOU,F,25.0,21.0,1693.0,5.0,1.0,54.0,23.0,2.0,5.0,0.0,0.27,9.3,2011,REG,0.0,0.0,1.0,0.05,42.6,18.0,18.0,9.0,1.0,0.0,0.0,0.0,Bruin,Will,80000.0,125000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1277,Eddie Gaven,CLB,M,26.0,26.0,2227.0,5.0,1.0,58.0,24.0,3.0,4.0,1.0,0.2,8.6,2011,REG,0.0,0.0,1.0,0.04,41.4,28.0,65.0,11.0,0.0,0.0,0.0,0.0,Gaven,Eddie,209633.0,209633.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1278,Mike Magee,LA,M,27.0,20.0,1772.0,5.0,0.0,28.0,11.0,1.0,4.0,1.0,0.25,17.9,2011,REG,0.0,0.0,0.0,0.0,39.3,30.0,34.0,3.0,2.0,0.0,0.0,0.0,Magee,Mike,102850.0,105350.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1279,Brad Davis,HOU,M,34.0,34.0,2892.0,4.0,16.0,49.0,15.0,0.0,3.0,1.0,0.12,8.2,2011,REG,6.0,13.0,3.0,0.5,30.6,38.0,33.0,2.0,5.0,0.0,3.0,3.0,Davis,Brad,235000.0,278062.5,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280,Benny Feilhaber,NE,M,23.0,23.0,2046.0,4.0,7.0,36.0,11.0,0.0,1.0,3.0,0.18,11.1,2011,REG,0.0,3.0,4.0,0.31,30.6,37.0,71.0,1.0,3.0,1.0,0.0,0.0,Feilhaber,Benny,300000.0,346000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281,Sean Franklin,LA,D,28.0,25.0,2338.0,4.0,3.0,15.0,7.0,1.0,1.0,3.0,0.15,26.7,2011,REG,2.0,2.0,1.0,0.12,46.7,23.0,12.0,3.0,2.0,0.0,0.0,0.0,Franklin,Sean,97389.0,111139.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1282,Colin Clark,HOU,M,29.0,17.0,1486.0,4.0,3.0,30.0,10.0,0.0,4.0,0.0,0.24,13.3,2011,REG,1.0,2.0,1.0,0.18,33.3,18.0,12.0,2.0,1.0,1.0,0.0,0.0,Clark,Colin,93713.0,98713.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1283,Jackson Goncalves,DAL,M,28.0,22.0,1952.0,4.0,2.0,54.0,17.0,1.0,2.0,2.0,0.18,7.4,2011,REG,0.0,1.0,1.0,0.09,31.5,39.0,22.0,9.0,8.0,1.0,0.0,0.0,Goncalves,Jackson,84000.0,105375.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1284,Drew Moor,COL,D,32.0,32.0,2880.0,4.0,1.0,28.0,9.0,2.0,2.0,2.0,0.13,14.3,2011,REG,0.0,1.0,0.0,0.03,32.1,22.0,35.0,3.0,8.0,0.0,0.0,0.0,Moor,Drew,159720.0,176908.89,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1285,Cam Weaver,HOU,F,28.0,16.0,1611.0,4.0,1.0,30.0,11.0,0.0,3.0,1.0,0.22,13.3,2011,REG,0.0,1.0,0.0,0.06,36.7,47.0,29.0,15.0,3.0,0.0,0.0,0.0,Weaver,Cam,89250.0,97500.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1286,Kyle Beckerman,RSL,M,29.0,27.0,2423.0,3.0,9.0,33.0,13.0,1.0,2.0,1.0,0.11,9.1,2011,REG,6.0,9.0,0.0,0.33,39.4,36.0,24.0,1.0,6.0,1.0,0.0,0.0,Beckerman,Kyle,219996.0,231246.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1287,Omar Cummings,COL,F,26.0,18.0,1686.0,3.0,6.0,34.0,10.0,1.0,3.0,0.0,0.16,8.8,2011,REG,1.0,4.0,2.0,0.32,29.4,18.0,21.0,22.0,1.0,0.0,0.0,0.0,Cummings,Omar,80438.0,89188.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1288,Nick Soolsma,TOR,F,23.0,18.0,1578.0,3.0,5.0,27.0,14.0,1.0,2.0,1.0,0.17,11.1,2011,REG,2.0,3.0,2.0,0.29,51.9,12.0,18.0,1.0,1.0,0.0,1.0,1.0,Soolsma,Nick,86004.0,86004.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1289,Joao Plata,TOR,F,26.0,21.0,1753.0,3.0,5.0,46.0,17.0,1.0,3.0,0.0,0.15,6.5,2011,REG,1.0,2.0,3.0,0.26,37.0,9.0,19.0,10.0,1.0,0.0,1.0,1.0,Plata,Joao,42000.0,42000.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1290,Justin Mapp,PHI,M,29.0,24.0,1861.0,3.0,4.0,29.0,8.0,0.0,0.0,3.0,0.15,10.3,2011,REG,1.0,2.0,2.0,0.19,27.6,19.0,28.0,4.0,1.0,0.0,0.0,0.0,Mapp,Justin,175000.0,183333.33,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1291,Jamie Smith,COL,M,20.0,18.0,1519.0,3.0,4.0,31.0,14.0,1.0,2.0,1.0,0.18,9.7,2011,REG,1.0,1.0,3.0,0.24,45.2,12.0,21.0,0.0,0.0,0.0,0.0,0.0,Smith,Jamie,136992.0,146992.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1292,Ryan Johnson,TOR,F,26.0,24.0,2080.0,3.0,4.0,46.0,15.0,0.0,0.0,3.0,0.13,6.5,2011,REG,1.0,2.0,2.0,0.17,32.6,29.0,24.0,15.0,3.0,0.0,0.0,0.0,Johnson,Ryan,131250.0,131250.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1293,Wells Thompson,COL,D,31.0,22.0,1935.0,3.0,3.0,22.0,9.0,2.0,1.0,2.0,0.14,13.6,2011,REG,2.0,1.0,2.0,0.14,40.9,31.0,39.0,2.0,4.0,0.0,0.0,0.0,Thompson,Wells,77500.0,85625.0,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
