,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG,PKA,Last Name,First Name,Base Salary,Guaranteed Compensation,Date
1003,Jason Hernandez,SJ,D,16.0,16.0,1403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,15.0,13.0,0.0,5.0,0.0,0.0,0.0,Hernandez,Jason,100000.0,100000.0,2009-09-15
1004,Lawson Vaughn,DC,D,3.0,2.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Vaughn,Lawson,34650.0,34650.0,2009-09-15
1005,Gabe Gala,TOR,M,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gala,Gabe,20100.0,20100.0,2009-09-15
1006,Erik Ustruck,HOU,F,2.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Ustruck,Erik,20100.0,20100.0,2009-09-15
1010,Alex Nimo,RSL,F-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nimo,Alex,70000.0,103000.0,2009-09-15
1011,Tino Nunez,RSL,F,3.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nunez,Tino,20100.0,20100.0,2009-09-15
1012,David Horst,RSL,D,2.0,1.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,Horst,David,34000.0,34000.0,2009-09-15
1014,Rob Valentino,COL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Valentino,Rob,39600.0,57100.0,2009-09-15
1015,Matt Marquess,KC,D,1.0,1.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,Marquess,Matt,20100.0,20100.0,2009-09-15
1016,Julian Valentin,LA,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Valentin,Julian,36000.0,36000.0,2009-09-15
1017,Ely Allen,DC,F-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Allen,Ely,15300.0,15300.0,2009-09-15
1019,Cory Elenio,CLB,M,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Elenio,Cory,20100.0,20100.0,2009-09-15
1020,Jamil Roberts,SJ,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Roberts,Jamil,20100.0,20100.0,2009-09-15
1021,Ty Harden,COL,D,7.0,1.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Harden,Ty,34008.0,34008.0,2009-09-15
1022,Ciaran O'Brien,COL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O'Brien,Ciaran,70000.0,103750.0,2009-09-15
1024,Leonard Griffin,LA,D,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Griffin,Leonard,37000.0,39500.0,2009-09-15
1027,Jim Curtin,CHV,D,3.0,2.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Curtin,Jim,109204.0,109204.2,2009-09-15
1028,Ante Razov,CHV,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Razov,Ante,140000.0,147750.0,2009-09-15
1029,Nick Garcia,TOR,D,25.0,25.0,2205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,22.0,15.0,0.0,4.0,0.0,0.0,0.0,Garcia,Nick,190000.0,198750.0,2009-09-15
1030,Gabriel Badilla,NE,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Badilla,Gabriel,138000.0,138000.0,2009-09-15
1032,Eddie Robinson,HOU,D,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,Robinson,Eddie,137813.0,137812.5,2009-09-15
1033,Kevin Souter,KC,M,1.0,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Souter,Kevin,34000.0,34000.0,2009-09-15
1034,Danny Szetela,DC,M,4.0,1.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Szetela,Danny,90000.0,90000.0,2009-09-15
1035,Kurt Morsink,KC,M,5.0,2.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,Morsink,Kurt,34650.0,34650.0,2009-09-15
1036,Devon McTavish,DC,D,11.0,5.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,4.0,0.0,0.0,0.0,McTavish,Devon,50000.0,52500.0,2009-09-15
1037,Avery John,DC,D,6.0,3.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,4.0,0.0,0.0,0.0,John,Avery,60000.0,63625.0,2009-09-15
1040,Greg Janicki,DC,D,7.0,5.0,422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,Janicki,Greg,34000.0,34000.0,2009-09-15
1041,Stanley Nyazamba,CLB,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nyazamba,Stanley,34000.0,34000.0,2009-09-15
1042,Brandon Barklage,DC,D,4.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,Barklage,Brandon,20100.0,20100.0,2009-09-15
1043,Ross Schunk,COL,F,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Schunk,Ross,20100.0,20100.0,2009-09-15
1044,Evan Brown,SEA,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brown,Evan,20100.0,20100.0,2009-09-15
1045,Tiyiselani Shipalane,DC,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shipalane,Tiyiselani,15300.0,16300.0,2009-09-15
1046,Tristan Bowen,LA,F,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bowen,Tristan,65000.0,96363.63,2009-09-15
1048,Giorgi Chirgadze,NY,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chirgadze,Giorgi,20100.0,20100.0,2009-09-15
1049,Cesar Zamora,CHV,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zamora,Cesar,20100.0,20100.0,2009-09-15
1051,Felix Garcia,HOU,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Garcia,Felix,65000.0,99000.0,2009-09-15
1054,David Habarugira,DC,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Habarugira,David,48000.0,55500.0,2009-09-15
1057,Yohance Marshall,LA,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marshall,Yohance,20100.0,20100.0,2009-09-15
1059,Darrius Barnes,NE,D,30.0,30.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,18.0,7.0,0.0,3.0,0.0,0.0,0.0,Barnes,Darrius,34008.0,34008.0,2009-09-15
1060,Emmanuel Gomez,TOR,D,9.0,6.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,Gomez,Emmanuel,35700.0,41300.0,2009-09-15
1061,Lamar Neagle,SEA,M-F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neagle,Lamar,15300.0,15300.0,2009-09-15
1063,Facundo Diz,COL,F,8.0,0.0,97.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,100.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,Diz,Facundo,42000.0,42000.0,2009-09-15
1064,Zach Scott,SEA,D,9.0,6.0,492.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,2.0,0.0,0.0,0.0,Scott,Zach,40008.0,40008.0,2009-09-15
1065,Stefan Dimitrov,CHI,F,7.0,1.0,124.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,Dimitrov,Stefan,34008.0,34008.0,2009-09-15
1066,Scott Palguta,COL,D,23.0,19.0,1749.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,3.0,0.0,0.0,0.0,Palguta,Scott,55000.0,54999.96,2009-09-15
1067,Peri Marosevic,DAL,F,4.0,0.0,47.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Marosevic,Peri,55000.0,104000.0,2009-09-15
1068,Calen Carr,CHI,F,10.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,Carr,Calen,58410.0,70910.0,2009-09-15
1069,Daniel Woolard,CHI,D,8.0,4.0,409.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,Woolard,Daniel,34000.0,34000.0,2009-09-15
1070,Claudio Suarez,CHV,D,5.0,1.0,111.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,Suarez,Claudio,75000.0,75000.0,2009-09-15
1071,Daniel Torres,DAL,D,15.0,8.0,886.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,1.0,1.0,0.0,0.0,Torres,Daniel,100000.0,110000.0,2009-09-15
1072,Wade Barrett,HOU,D,12.0,11.0,940.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,3.0,0.0,0.0,0.0,Barrett,Wade,154000.0,156500.0,2009-09-15
1073,Tony Sanneh,LA,D,13.0,5.0,627.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,2.0,0.0,0.0,0.0,Sanneh,Tony,84000.0,85250.0,2009-09-15
1075,Austin Washington,CHI,D,8.0,4.0,360.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Washington,Austin,20100.0,20100.0,2009-09-15
1076,Rauwshan McKenzie,KC,D,5.0,5.0,437.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,McKenzie,Rauwshan,34008.0,34008.0,2009-09-15
1079,Nathan Sturgis,SEA,M,9.0,5.0,440.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,100.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,Sturgis,Nathan,100000.0,133000.0,2009-09-15
1080,Tyson Wahl,SEA,D,12.0,9.0,893.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,1.0,0.0,0.0,0.0,Wahl,Tyson,34650.0,34650.0,2009-09-15
1081,Amaechi Igwe,NE,D,11.0,5.0,628.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,50.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,Igwe,Amaechi,75000.0,108000.0,2009-09-15
1082,Adam Cristman,KC,F,5.0,3.0,213.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,100.0,3.0,6.0,4.0,1.0,0.0,0.0,0.0,Cristman,Adam,34650.0,34650.0,2009-09-15
1084,Kyle Davies,DAL,D,11.0,10.0,795.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,100.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,Davies,Kyle,50004.0,50004.0,2009-09-15
1085,Bruno Guarda,DAL,M,4.0,2.0,217.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,50.0,7.0,5.0,0.0,2.0,0.0,0.0,0.0,Guarda,Bruno,70000.0,90500.0,2009-09-15
1086,Rachid El Khalifi,RSL,M-F,4.0,3.0,178.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,El Khalifi,Rachid,84996.0,102996.0,2009-09-15
1087,Lesly Fellinga,TOR,D,4.0,1.0,137.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Fellinga,Lesly,36000.0,36000.0,2009-09-15
1090,Cory Gibbs,COL,D,20.0,19.0,1575.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,50.0,22.0,17.0,0.0,7.0,0.0,0.0,0.0,Gibbs,Cory,110000.0,117142.86,2009-09-15
1092,Chris Albright,NE,D,1.0,1.0,90.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Albright,Chris,176000.0,176000.0,2009-09-15
1097,Ernst Oebster,NY,M,3.0,2.0,157.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,66.7,2.0,5.0,3.0,0.0,0.0,0.0,0.0,Oebster,Ernst,36000.0,36000.0,2009-09-15
1098,Matt Besler,KC,D,28.0,26.0,2236.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,33.3,19.0,20.0,3.0,5.0,0.0,0.0,0.0,Besler,Matt,36000.0,47250.0,2009-09-15
1099,Kevin Burns,CLB,M,8.0,4.0,359.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,33.3,5.0,4.0,0.0,1.0,0.0,0.0,0.0,Burns,Kevin,20100.0,20100.0,2009-09-15
1100,C.J. Brown,CHI,D,18.0,17.0,1454.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,33.3,11.0,15.0,1.0,1.0,0.0,0.0,0.0,Brown,C.J.,91200.0,96000.0,2009-09-15
1101,Julian de Guzman,TOR,M,5.0,5.0,450.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,1.0,0.0,0.0,0.0,de Guzman,Julian,909600.0,956350.0,2009-09-15
1102,Mike Petke,NY,D,19.0,18.0,1493.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,33.3,16.0,12.0,0.0,6.0,1.0,0.0,0.0,Petke,Mike,80000.0,80000.04,2009-09-15
1103,Stephen King,SEA,M,10.0,3.0,433.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,King,Stephen,34000.0,34000.0,2009-09-15
1105,Kevin Goldthwaite,NY,D,17.0,17.0,1449.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,20.0,24.0,0.0,5.0,1.0,0.0,0.0,Goldthwaite,Kevin,102000.0,111000.0,2009-09-15
1106,Aaron Pitchkolan,SJ,D,10.0,6.0,631.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,4.0,0.0,0.0,0.0,Pitchkolan,Aaron,50000.0,51250.0,2009-09-15
1107,Greg Dalby,COL,M,11.0,2.0,242.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,66.7,2.0,3.0,0.0,1.0,0.0,0.0,0.0,Dalby,Greg,34650.0,34650.0,2009-09-15
1108,Nico Colaluca,NE,M,6.0,1.0,159.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,33.3,4.0,5.0,1.0,0.0,0.0,0.0,0.0,Colaluca,Nico,75000.0,108000.0,2009-09-15
1109,Anthony Wallace,DAL,D,7.0,6.0,498.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,25.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Wallace,Anthony,75000.0,108000.0,2009-09-15
1110,Bobby Burling,SJ,D,10.0,7.0,713.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,25.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,Burling,Bobby,34000.0,34000.0,2009-09-15
1111,Jonathan Leathers,KC,D,11.0,10.0,871.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,25.0,6.0,3.0,0.0,3.0,0.0,0.0,0.0,Leathers,Jonathan,34000.0,34000.0,2009-09-15
1113,Andrew Boyens,NY,D,14.0,14.0,1114.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,50.0,16.0,9.0,0.0,3.0,0.0,0.0,0.0,Boyens,Andrew,49550.0,52050.0,2009-09-15
1114,Danny Cruz,HOU,M-F,6.0,0.0,107.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,50.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,Cruz,Danny,55000.0,98000.0,2009-09-15
1116,Dejan Jakovic,DC,D,23.0,23.0,2070.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,23.0,17.0,0.0,6.0,0.0,0.0,0.0,Jakovic,Dejan,90000.0,108812.5,2009-09-15
1117,Emmanuel Osei,NE,D,23.0,23.0,1852.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,20.0,19.0,19.0,0.0,4.0,1.0,0.0,0.0,Osei,Emmanuel,45000.0,50625.0,2009-09-15
1119,Blake Wagner,DAL,D-M,15.0,8.0,789.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0,1.0,0.0,0.0,0.0,Wagner,Blake,50930.0,63430.0,2009-09-15
1120,Luke Sassano,NY,D,17.0,12.0,1179.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,0.0,0.0,Sassano,Luke,34000.0,34000.0,2009-09-15
1121,Gregg Berhalter,LA,D,26.0,26.0,2298.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,0.0,41.0,29.0,1.0,4.0,2.0,0.0,0.0,Berhalter,Gregg,144000.0,162750.0,2009-09-15
1122,Stefani Miglioranzi,LA,M,23.0,20.0,1719.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,33.3,33.0,13.0,0.0,4.0,0.0,0.0,0.0,Miglioranzi,Stefani,70000.0,79499.96,2009-09-15
1124,Michael Videira,NE,M,12.0,5.0,480.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,50.0,9.0,7.0,1.0,2.0,0.0,0.0,0.0,Videira,Michael,34000.0,34000.0,2009-09-15
1125,Sanna Nyassi,SEA,M,14.0,2.0,305.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,16.7,8.0,4.0,3.0,2.0,0.0,0.0,0.0,Nyassi,Sanna,20100.0,20100.0,2009-09-15
1129,Pat Phelan,NE,M-D,21.0,13.0,1136.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,28.6,16.0,15.0,0.0,3.0,0.0,0.0,0.0,Phelan,Pat,34650.0,34650.0,2009-09-15
1130,Shavar Thomas,CHV,D,17.0,17.0,1459.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,28.6,16.0,1.0,0.0,1.0,1.0,0.0,0.0,Thomas,Shavar,104500.0,108250.0,2009-09-15
1131,Kevin Harmse,CHV,M,12.0,8.0,805.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,50.0,9.0,7.0,0.0,2.0,0.0,0.0,0.0,Harmse,Kevin,79200.0,79200.0,2009-09-15
1132,Andrew Jacobson,DC,M,17.0,8.0,845.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,12.5,14.0,8.0,0.0,1.0,0.0,0.0,0.0,Jacobson,Andrew,34000.0,34000.0,2009-09-15
1133,Antonio Ribeiro,SJ,M,7.0,7.0,509.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,22.2,7.0,6.0,0.0,2.0,0.0,0.0,0.0,Ribeiro,Antonio,51000.0,51000.0,2009-09-15
1135,Clyde Simms,DC,M,28.0,28.0,2457.0,0.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,2009,REG,0.0,0.0,0.0,0.0,38.5,23.0,11.0,0.0,4.0,0.0,0.0,0.0,Simms,Clyde,150000.0,156000.0,2009-09-15
